,X1_2_3_4,X1_2,X2_3,X3_4,X1_2_3,X2_3_4,cow_id,quarter,,first_date,first_visit,first_farm,first_order,first_path_1,first_path1_IMI,first_path_2,first_path2_IMI,first_path_3,first_path3_IMI,first_path_4,first_path4_IMI,first_quarter_code,first_isolate_1,first_isolate_2,first_isolate_3,first_isolate_4,first_clinical,first_blind,first_teatinj,first_pstmilking,first_mixed_inf_series,first_dup_not_collected,first_IMI_series,first_hygiene_1,first_hygiene_2,first_cc_1,first_cc_2,first_cc_3,first_scc,first_contam,first_contam_comment,first_uniqueID,second_date,second_visit,second_farm,second_order,second_path_1,second_path1_IMI,second_path_2,second_path2_IMI,second_path_3,second_path3_IMI,second_path_4,second_path4_IMI,second_quarter_code,second_isolate_1,second_isolate_2,second_isolate_3,second_isolate_4,second_clinical,second_blind,second_teatinj,second_pstmilking,second_mixed_inf_series,second_dup_not_collected,second_IMI_series,second_hygiene_1,second_hygiene_2,second_cc_1,second_cc_2,second_cc_3,second_scc,second_scc_eq_above_200k,second_scc_eq_above_100k,second_contam,second_contam_comment,second_uniqueID,third_date,third_visit,third_farm,third_order,third_path_1,third_path1_IMI,third_path_2,third_path2_IMI,third_path_3,third_path3_IMI,third_path_4,third_path4_IMI,third_quarter_code,third_isolate_1,third_isolate_2,third_isolate_3,third_isolate_4,third_clinical,third_blind,third_teatinj,third_pstmilking,third_mixed_inf_series,third_dup_not_collected,third_IMI_series,third_hygiene_1,third_hygiene_2,third_cc_1,third_cc_2,third_cc_3,third_scc,third_scc_eq_above_200k,third_scc_eq_above_100k,third_contam,third_contam_comment,third_uniqueID,fourth_date,fourth_visit,fourth_farm,fourth_order,fourth_path_1,fourth_path1_IMI,fourth_path_2,fourth_path2_IMI,fourth_path_3,fourth_path3_IMI,fourth_path_4,fourth_path4_IMI,fourth_quarter_code,fourth_isolate_1,fourth_isolate_2,fourth_isolate_3,fourth_isolate_4,fourth_clinical,fourth_blind,fourth_teatinj,fourth_pstmilking,fourth_mixed_inf_series,fourth_dup_not_collected,fourth_IMI_series,fourth_hygiene_1,fourth_hygiene_2,fourth_cc_1,fourth_cc_2,fourth_cc_3,fourth_scc,fourth_contam,fourth_contam_comment,fourth_uniqueID
10,,,y,,,,69_Choiniere,LH,69_Choiniere_LH,12.11.2019,first,Choiniere,3,cns,other12,,,,,,,12,CF003,,,,,,,,,,no,NA,NA,NA,NA,NA,144000,,,69_Choiniere_LH,1.21.2020,second,Choiniere,8,cns,yes2,,,NA,NA,NA,NA,2,CF092,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,110000,n,y,,,69_Choiniere_LH,2.17.2020,third,Choiniere,4,cns,yes2,,,,,,,2,CF137,,,,,,,,no,,yes,NA,NA,NA,NA,NA,85000,n,n,,,69_Choiniere_LH,3.16.2020,fourth,Choiniere,32,corynebac,yes2,,,,,,,2,CF236,,,,,,,,no,,yes,NA,NA,NA,NA,NA,94000,,,69_Choiniere_LH_fourth
21,,,y,,,,scrapie278_Paddlebridge,RH,scrapie278_Paddlebridge_RH,1.17.2020,first,Paddlebridge,29,,,,,,,,,19,,,,,,,,,,,,NA,NA,NA,NA,NA,220000,,,scrapie278_Paddlebridge_RH,2.21.2020,second,Paddlebridge,27,cns,yes2,,,NA,NA,NA,NA,2,PB052,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,210000,y,y,,,scrapie278_Paddlebridge_RH,3.20.2020,third,Paddlebridge,32,cns,yes2,,,,,,,2,PB096,,,,,,,,no,,yes,NA,NA,NA,NA,NA,86000,n,n,,,scrapie278_Paddlebridge_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,scrapie278_Paddlebridge_RH_fourth
23,,,y,,,,denise_Swallowdale,RH,denise_Swallowdale_RH,12.13.2019,first,Swallowdale,6,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,22000,,,denise_Swallowdale_RH,1.22.2020,second,Swallowdale,21,cns,yes2,,,NA,NA,NA,NA,2,SW078,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,130000,n,y,,,denise_Swallowdale_RH,2.28.2020,third,Swallowdale,22,cns,yes2,,,,,,,2,SW120,,,,,,,,no,,yes,NA,NA,NA,NA,NA,87000,n,n,,,denise_Swallowdale_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,denise_Swallowdale_RH_fourth
24,,,y,,,,lovage_Lynd,LF,lovage_Lynd_LF,12.19.2019,first,Lynd,20,strep,yes2,,,,,,,2,LF026,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3910000,,,lovage_Lynd_LF,1.30.2020,second,Lynd,3,cns,yes2,,,NA,NA,NA,NA,2,LF048,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,180000,n,y,,,lovage_Lynd_LF,3.5.2020,third,Lynd,22,cns,yes2,,,,,,,2,LF113,,,,,,,,no,,yes,NA,NA,NA,NA,NA,94000,n,n,,,lovage_Lynd_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lovage_Lynd_LF_fourth
8,,,y,,,,dorian_Swallowdale,LH,dorian_Swallowdale_LH,12.13.2019,first,Swallowdale,13,cns,other12,,,,,,,12,SW022,,,,,,,,,,no,NA,NA,NA,NA,NA,26000,,,dorian_Swallowdale_LH,1.22.2020,second,Swallowdale,19,cns,yes2,,,NA,NA,NA,NA,2,SW075,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,74000,n,n,,,dorian_Swallowdale_LH,2.28.2020,third,Swallowdale,6,cns,yes2,,,,,,,2,SW097,,,,,,,,no,,yes,NA,NA,NA,NA,NA,100000,n,y,,,dorian_Swallowdale_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dorian_Swallowdale_LH_fourth
9,,,y,,,,paige_Swallowdale,LH,paige_Swallowdale_LH,12.13.2019,first,Swallowdale,11,gramneg.coli,other12,cns,other12,bacillus,other12,,,12,SW014,SW015,SW016,,,,,,,,no,NA,NA,NA,NA,NA,56000,,,paige_Swallowdale_LH,1.22.2020,second,Swallowdale,7,cns,yes2,,,NA,NA,NA,NA,2,SW063,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,24000,n,n,,,paige_Swallowdale_LH,2.28.2020,third,Swallowdale,5,cns,yes2,,,,,,,2,SW095,,,,,,,,no,,yes,NA,NA,NA,NA,NA,120000,n,y,,,paige_Swallowdale_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,paige_Swallowdale_LH_fourth
4,,,y,,,,173_Glennview,RH,173_Glennview_RH,1.14.2020,first,Glennview,1,cns,other12,,,,,,,12,GV002,,,,,,,,,,no,NA,NA,NA,NA,NA,78000,,,173_Glennview_RH,2.19.2020,second,Glennview,3,cns,yes1,,,NA,NA,NA,NA,1,GV051,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,67000,n,n,,,173_Glennview_RH,3.19.2020,third,Glennview,6,cns,yes1,,,,,,,1,GV110,,,,,,,,no,,yes,NA,NA,NA,NA,NA,130000,n,y,,,173_Glennview_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173_Glennview_RH_fourth
6,,,y,,,,lioness_Lynd,RH,lioness_Lynd_RH,12.19.2019,first,Lynd,32,cns,other12,,,,,,,12,LF037,,,,,,,,,,no,NA,NA,NA,NA,NA,59000,,,lioness_Lynd_RH,1.30.2020,second,Lynd,26,cns,yes1,,,NA,NA,NA,NA,1,LF078,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,250000,y,y,,,lioness_Lynd_RH,3.5.2020,third,Lynd,35,cns,yes2,,,,,,,2,LF124,,,,,,,,no,,yes,NA,NA,NA,NA,NA,130000,n,y,,,lioness_Lynd_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lioness_Lynd_RH_fourth
22,,,y,,,,denise_Swallowdale,LF,denise_Swallowdale_LF,12.13.2019,first,Swallowdale,6,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,23000,,,denise_Swallowdale_LF,1.22.2020,second,Swallowdale,21,cns,yes2,,,NA,NA,NA,NA,2,SW077,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,250000,y,y,,,denise_Swallowdale_LF,2.28.2020,third,Swallowdale,22,cns,yes2,,,,,,,2,SW119,,,,,,,,no,,yes,NA,NA,NA,NA,NA,150000,n,y,,,denise_Swallowdale_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,denise_Swallowdale_LF_fourth
11,,,y,,,,173_Glennview,LH,173_Glennview_LH,1.14.2020,first,Glennview,1,cns,other8,,,,,,,8,GV001,,,,,,,,,,no,NA,NA,NA,NA,NA,1200000,,,173_Glennview_LH,2.19.2020,second,Glennview,3,cns,yes2,,,NA,NA,NA,NA,2,GV050,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,390000,y,y,,,173_Glennview_LH,3.19.2020,third,Glennview,6,cns,yes2,,,,,,,2,GV109,,,,,,,,no,,yes,NA,NA,NA,NA,NA,200000,y,y,,,173_Glennview_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173_Glennview_LH_fourth
19,,,y,,,,nellie_Butterworks,LH,nellie_Butterworks_LH,1.2.2020,first,Butterworks,24,,,,,,,,,8,,,,,,,,,,,,NA,NA,NA,NA,NA,110000,yes,,nellie_Butterworks_LH,2.4.2020,second,Butterworks,24,cns,yes2,,,NA,NA,NA,NA,2,BW094,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,240000,y,y,,,nellie_Butterworks_LH,3.3.2020,third,Butterworks,25,cns,yes2,,,,,,,2,BW144,,,,,,,,no,,yes,NA,NA,NA,NA,NA,220000,y,y,,,nellie_Butterworks_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nellie_Butterworks_LH_fourth
2,,,y,,,,faith_Lynd,LH,faith_Lynd_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30.2020,second,Lynd,8,cns,yes2,,,NA,NA,NA,NA,2,LF055,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,200000,y,y,,,faith_Lynd_LH,3.5.2020,third,Lynd,6,cns,yes2,,,,,,,2,LF098,,,,,,,,no,,yes,NA,NA,NA,NA,NA,350000,y,y,,,faith_Lynd_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,faith_Lynd_LH_fourth
1,,,y,,,,198_Glennview,LH,198_Glennview_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19.2020,second,Glennview,35,cns,yes2,,,NA,NA,NA,NA,2,GV097,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,66000,n,n,,,198_Glennview_LH,3.19.2020,third,Glennview,7,cns,yes2,,,,,,,2,GV111,,,,,,,,no,,yes,NA,NA,NA,NA,NA,370000,y,y,,,198_Glennview_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198_Glennview_LH_fourth
3,,,y,,,,noel_Butterworks,LF,noel_Butterworks_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4.2020,second,Butterworks,6,cns,yes2,,,NA,NA,NA,NA,2,BW077,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,61000,n,n,,,noel_Butterworks_LF,3.3.2020,third,Butterworks,7,cns,yes2,,,,,,,2,BW122,,,,,,,,no,,yes,NA,NA,NA,NA,NA,480000,y,y,,,noel_Butterworks_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,noel_Butterworks_LF_fourth
