Cow_ID,Quarter,IMI_species,SCC
Jazz,LF,,26000
Jazz,RH,,4000
Jazz,RF,,2000
Sondra,LH,,26000
Sondra,LF,Mix_CNS_Strep,89000
Sondra,RH,,8000
Sondra,RF,,170000
Denver,LH,,5000
Denver,LF,Mix_CNS_Strep,160000
Denver,RH,CNS,68000
Denver,RF,,2000
Sonic,LH,,3000
Sonic,LF,,5000
Sonic,RH,,4000
Sonic,RF,,6000
Cassia,LH,CNS,220000
Cassia,LF,,75000
Cassia,RH,CNS,1300000
Cassia,RF,,29000
Pledge,LH,,2000
Pledge,LF,CNS,230000
Pledge,RH,CNS,84000
Pledge,RF,CNS,140000
Opal,LH,,0
Opal,LF,,3000
Opal,RH,,0
Opal,RF,,9000
Jewel,LH,,2000
Jewel,LF,,2000
Jewel,RH,CNS,24000
Jewel,RF,,160000
Gigi,LH,,12000
Gigi,LF,,5000
Gigi,RH,SA,1100000
Gigi,RF,,26000
DeeDee,LH,,23000
DeeDee,LF,,17000
DeeDee,RH,,400000
DeeDee,RF,,30000
Sparky,LH,,12000
Sparky,LF,,12000
Sparky,RH,,10000
Sparky,RF,,7000
Diane,LH,,47000
Diane,LF,,60000
Diane,RH,,60000
Diane,RF,,33000
Quantum,LH,,96000
Quantum,LF,CNS,480000
Quantum,RH,,140000
Quantum,RF,,150000
Pasta,LH,,20000
Pasta,LF,CNS,500000
Pasta,RH,,13000
Pasta,RF,,3000
Paige,LH,CNS,120000
Paige,LF,,6000
Paige,RH,CNS,120000
Paige,RF,,8000
Dorian,LH,CNS,100000
Dorian,LF,,15000
Dorian,RH,,29000
Dorian,RF,,10000
Picknick,LH,,4000
Picknick,LF,,4000
Picknick,RH,,3000
Picknick,RF,,6000
Casbah,LH,,6000
Casbah,LF,,3000
Casbah,RH,,3000
Casbah,RF,,0
29,LH,,250000
29,LF,Strep,1800000
29,RH,,490000
29,RF,Mix_CNS_Strep,1800000
Debutant,LH,Contaminated,39000
Debutant,LF,Contaminated,5000
Debutant,RH,,2000
Debutant,RF,,4000
Pledge,LH,,2000
Pledge,LF,CNS,410000
Pledge,RH,CNS,180000
Pledge,RF,CNS,440000
Maisie,LH,,13000
Maisie,LF,,7000
Maisie,RH,Strep,3000
Maisie,RF,,11000
Amber,LH,CNS,140000
Amber,LF,,15000
Amber,RH,,8000
Amber,RF,,7000
Gretchen,LH,,0
Gretchen,LF,,17000
Gretchen,RH,,7000
Gretchen,RF,,10000
DeeDee,LH,,39000
DeeDee,LF,,21000
DeeDee,RH,,120000
DeeDee,RF,,19000
Jazz,LH,Other_Gram-positive,2200000
Jazz,LF,,40000
Jazz,RH,,5000
Jazz,RF,,6000
Cambric,LH,CNS,76000
Cambric,LF,,4000
Cambric,RH,,53000
Cambric,RF,,7000
Shelly,LH,,19000
Shelly,LF,,15000
Shelly,RH,,10000
Shelly,RF,,30000
Ferris,LH,,25000
Ferris,LF,,22000
Ferris,RH,,27000
Ferris,RF,,40000
Sondra,LH,,17000
Sondra,LF,Mix_CNS_Strep,87000
Sondra,RH,Mix_Coryne_Strep,7000
Sondra,RF,Mix_CNS_Strep,94000
Marshmellow,LH,Strep,120000
Marshmellow,LF,CNS,180000
Marshmellow,RH,Strep,90000
Marshmellow,RF,CNS,270000
Denise,LH,,29000
Denise,LF,CNS,150000
Denise,RH,CNS,87000
Denise,RF,,28000
Flossy,LH,,590000
Flossy,LF,,20000
Flossy,RH,,6000
Flossy,RF,,5000
Pamela,LH,,6000
Pamela,LF,,10000
Pamela,RH,,7000
Pamela,RF,,5000
Jewel,LH,CNS,33000
Jewel,LF,,2000
Jewel,RH,,0
Jewel,RF,,0
Marta,LH,,17000
Marta,LF,,90000
Marta,RH,,15000
Marta,RF,,9000
Halo,LH,,0
Halo,LF,,3000
Halo,RH,,4000
Halo,RF,,2000
Rock7,LH,,3000
Rock7,LF,,6000
Rock7,RH,,3000
Rock7,RF,,5000
Denver,LH,,4000
Denver,LF,Mix_CNS_Strep,380000
Denver,RH,CNS,92000
Denver,RF,,5000
Opal,LH,,0
Opal,LF,,2000
Opal,RH,,0
Opal,RF,,4000
Gigi,LH,,4000
Gigi,LF,,8000
Gigi,RH,SA,3000000
Gigi,RF,,58000
Sonic,LH,,4000
Sonic,LF,,5000
Sonic,RH,,5000
Sonic,RF,,6000
Goldie,LH,Contaminated,130000
Goldie,LF,CNS,59000
Goldie,RH,Contaminated,200000
Goldie,RF,,14000
Cassia,LH,CNS,1000000
Cassia,LF,,240000
Cassia,RH,CNS,750000
Cassia,RF,,27000
Skyler,LH,CNS,3000
Skyler,LF,,2000
Skyler,RH,,14000
Skyler,RF,,0
