staphylococcus chromogenes,174
staphylococcus simulans,23
staphylococcus haemolyticus,21
staphylococcus species,14
staphylococcus warneri,8
staphylococcus equorum,4
staphylococcus xylosus,2
staphylococcus auricularis,1
staphylococcus capitis,1
staphylococcus devriesei,1
staphylococcus hominis,1
staphylococcus saprophyticus,1
staphylococcus sciuri,1
