Cow_ID,Quarter,IMI_species,SCC
Faith,LF,Contaminated,1800000
Doris,RF,,1826000
Whopper,RF,,1900000
Whopper,LH,,2200000
Rashida,LF,CNS,2496000
Pippa,RF,,2570000
Whopper,LH,,2600000
Pippa,RF,,2900000
Alexis,LF,CNS,3003000
Rashida,LF,CNS,3100000
Daryl,RH,,5100000
Faith,LH,,5600000
Alexis,RF,CNS,6100000
Whopper,LF,,6900000
Doris,RF,,8400000
Wynona,RF,Serratia,10000000
Peaches,RH,Blind,.
Peaches,RH,Blind,.
