,X1_2_3_4,X1_2,X2_3,X3_4,X1_2_3,X2_3_4,cow_id,quarter,,first_date,first_visit,first_farm,first_order,first_path_1,first_path1_IMI,first_path_2,first_path2_IMI,first_path_3,first_path3_IMI,first_path_4,first_path4_IMI,first_quarter_code,first_isolate_1,first_isolate_2,first_isolate_3,first_isolate_4,first_clinical,first_blind,first_teatinj,first_pstmilking,first_mixed_inf_series,first_dup_not_collected,first_IMI_series,first_hygiene_1,first_hygiene_2,first_cc_1,first_cc_2,first_cc_3,first_scc,first_scc_eq_above_200k,first_scc_eq_above_100k,first_contam,first_contam_comment,first_uniqueID,second_date,second_visit,second_farm,second_order,second_path_1,second_path1_IMI,second_path_2,second_path2_IMI,second_path_3,second_path3_IMI,second_path_4,second_path4_IMI,second_quarter_code,second_isolate_1,second_isolate_2,second_isolate_3,second_isolate_4,second_clinical,second_blind,second_teatinj,second_pstmilking,second_mixed_inf_series,second_dup_not_collected,second_IMI_series,second_hygiene_1,second_hygiene_2,second_cc_1,second_cc_2,second_cc_3, second_scc ,second_scc_eq_above_200k,second_scc_eq_above_100k,second_contam,second_contam_comment,second_uniqueID,third_date,third_visit,third_farm,third_order,third_path_1,third_path1_IMI,third_path_2,third_path2_IMI,third_path_3,third_path3_IMI,third_path_4,third_path4_IMI,third_quarter_code,third_isolate_1,third_isolate_2,third_isolate_3,third_isolate_4,third_clinical,third_blind,third_teatinj,third_pstmilking,third_mixed_inf_series,third_dup_not_collected,third_IMI_series,third_hygiene_1,third_hygiene_2,third_cc_1,third_cc_2,third_cc_3,third_scc,third_scc_eq_above_200k,third_scc_eq_above_100k,third_contam,third_contam_comment,third_uniqueID,fourth_date,fourth_visit,fourth_farm,fourth_order,fourth_path_1,fourth_path1_IMI,fourth_path_2,fourth_path2_IMI,fourth_path_3,fourth_path3_IMI,fourth_path_4,fourth_path4_IMI,fourth_quarter_code,fourth_isolate_1,fourth_isolate_2,fourth_isolate_3,fourth_isolate_4,fourth_clinical,fourth_blind,fourth_teatinj,fourth_pstmilking,fourth_mixed_inf_series,fourth_dup_not_collected,fourth_IMI_series,fourth_hygiene_1,fourth_hygiene_2,fourth_cc_1,fourth_cc_2,fourth_cc_3,fourth_scc,fourth_contam,fourth_contam_comment,fourth_uniqueID
31,,,,,y,,manzana_Butterworks,RF,manzana_Butterworks_RF,1.2.2020,first,Butterworks,19,cns,yes2,,,,,,,2,BW032,,,,,,,,no,,yes,NA,NA,NA,NA,NA,43000,n,n,,,manzana_Butterworks_RF,2.4.2020,second,Butterworks,20,cns,yes2,,,NA,NA,NA,NA,2,BW092,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"65,000",n,n,,,manzana_Butterworks_RF,3.3.2020,third,Butterworks,20,cns,yes2,,,,,,,2,BW140,,,,,,,,no,,yes,NA,NA,NA,NA,NA,49000,n,n,,,manzana_Butterworks_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manzana_Butterworks_RF_fourth
63,,,,,y,,butterfly_OughtaBe,RF,butterfly_OughtaBe_RF,1.3.2020,first,OughtaBe,18,cns,yes2,,,,,,,2,OB023,,,,,,,,no,,yes,NA,NA,NA,NA,NA,300000,y,y,,,butterfly_OughtaBe_RF,2.14.2020,second,OughtaBe,20,cns,yes2,,,NA,NA,NA,NA,2,OB084,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"240,000",y,y,,,butterfly_OughtaBe_RF,3.12.2020,third,OughtaBe,15,cns,yes2,,,,,,,2,OB133,,,,,,,,no,,yes,NA,NA,NA,NA,NA,50000,n,n,,,butterfly_OughtaBe_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,butterfly_OughtaBe_RF_fourth
8,,,,,y,,khakibeige_Lynd,LF,khakibeige_Lynd_LF,12.19.2019,first,Lynd,30,cns,yes2,,,,,,,2,LF036,,,,,,,,no,,yes,NA,NA,NA,NA,NA,33000,n,n,,,khakibeige_Lynd_LF,1.30.2020,second,Lynd,35,cns,yes1,,,NA,NA,NA,NA,1,LF087,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"48,000",n,n,,,khakibeige_Lynd_LF,3.5.2020,third,Lynd,31,cns,yes2,,,,,,,2,LF123,,,,,,,,no,,yes,NA,NA,NA,NA,NA,54000,n,n,,,khakibeige_Lynd_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,khakibeige_Lynd_LF_fourth
78,,,,,y,,fitzi31_Paddlebridge,RF,fitzi31_Paddlebridge_RF,1.17.2020,first,Paddlebridge,12,cns,yes2,,,,,,,2,PB005,,,,,,,,no,,yes,NA,NA,NA,NA,NA,56000,n,n,,,fitzi31_Paddlebridge_RF,2.21.2020,second,Paddlebridge,12,cns,yes2,,,NA,NA,NA,NA,2,PB033,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"46,000",n,n,,,fitzi31_Paddlebridge_RF,3.20.2020,third,Paddlebridge,16,cns,yes2,,,,,,,2,PB074,,,,,,,,no,,yes,NA,NA,NA,NA,NA,58000,n,n,,,fitzi31_Paddlebridge_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fitzi31_Paddlebridge_RF_fourth
88,,,,,y,,goldie_Swallowdale,LF,goldie_Swallowdale_LF,12.13.2019,first,Swallowdale,15,cns,yes2,,,,,,,2,SW029,,,,,,,,no,,yes,NA,NA,NA,NA,NA,157000,n,y,,,goldie_Swallowdale_LF,1.22.2020,second,Swallowdale,6,cns,yes2,,,NA,NA,NA,NA,2,SW060,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"45,000",n,n,,,goldie_Swallowdale_LF,2.28.2020,third,Swallowdale,33,cns,yes2,,,,,,,2,SW129,,,,,,,,,,yes,NA,NA,NA,NA,NA,59000,n,n,,,goldie_Swallowdale_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,goldie_Swallowdale_LF_fourth
3,,,,,y,,cb5_BJ,LH,cb5_BJ_LH,12.17.2019,first,BJ,5,cns,yes1,,,,,,,1,BJ004,,,,,,,,no,,yes,NA,NA,NA,NA,NA,62000,n,n,,,cb5_BJ_LH,1.29.2020,second,BJ,6,cns,yes2,,,NA,NA,NA,NA,2,BJ030,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"74,000",n,n,,,cb5_BJ_LH,2.26.2020,third,BJ,5,cns,yes2,,,,,,,2,BJ054,,,,,,,,no,,yes,NA,NA,NA,NA,NA,59000,n,n,,,cb5_BJ_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cb5_BJ_LH_fourth
29,,,,,y,,bon_Butterworks,RF,bon_Butterworks_RF,1.2.2020,first,Butterworks,29,cns,yes2,,,,,,,2,BW053,,,,,,,,no,,yes,NA,NA,NA,NA,NA,310000,y,y,,,bon_Butterworks_RF,2.4.2020,second,Butterworks,31,cns,yes2,,,NA,NA,NA,NA,2,BW106,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"290,000",y,y,,,bon_Butterworks_RF,3.3.2020,third,Butterworks,32,cns,yes2,,,,,,,2,BW155,,,,,,,,no,,yes,NA,NA,NA,NA,NA,62000,n,n,,,bon_Butterworks_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bon_Butterworks_RF_fourth
40,,,,,y,,192_Glennview,RF,192_Glennview_RF,1.14.2020,first,Glennview,16,cns,yes2,,,,,,,2,GV027,,,,,,,,no,,yes,NA,NA,NA,NA,NA,300000,y,y,,,192_Glennview_RF,2.19.2020,second,Glennview,31,cns,yes2,,,NA,NA,NA,NA,2,GV090,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"130,000",n,y,,,192_Glennview_RF,3.19.2020,third,Glennview,31,cns,yes2,,,,,,,2,GV154,,,,,,,,no,,yes,NA,NA,NA,NA,NA,63000,n,n,,,192_Glennview_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192_Glennview_RF_fourth
69,,,,,y,,spice_OughtaBe,LF,spice_OughtaBe_LF,1.3.2020,first,OughtaBe,23,cns,yes2,,,,,,,2,OB032,,,,,,,,no,,yes,NA,NA,NA,NA,NA,900000,y,y,,,spice_OughtaBe_LF,2.14.2020,second,OughtaBe,21,cns,yes2,,,NA,NA,NA,NA,2,OB085,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"960,000",y,y,,,spice_OughtaBe_LF,3.12.2020,third,OughtaBe,21,cns,yes2,,,,,,,2,OB145,,,,,,,,no,,yes,NA,NA,NA,NA,NA,63000,n,n,,,spice_OughtaBe_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spice_OughtaBe_LF_fourth
26,,,,,y,,739_BJ,LH,739_BJ_LH,12.17.2019,first,BJ,8,cns,yes2,,,,,,,2,BJ009,,,,,,,,no,,yes,NA,NA,NA,NA,NA,36000,n,n,,,739_BJ_LH,1.29.2020,second,BJ,11,cns,yes2,,,NA,NA,NA,NA,2,BJ040,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"23,000",n,n,,,739_BJ_LH,2.26.2020,third,BJ,14,cns,yes2,,,,,,,2,BJ064,,,,,,,,no,,yes,NA,NA,NA,NA,NA,66000,n,n,,,739_BJ_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,739_BJ_LH_fourth
32,,,,,y,,manzana_Butterworks,RH,manzana_Butterworks_RH,1.2.2020,first,Butterworks,19,cns,yes2,,,,,,,2,BW031,,,,,,,,no,,yes,NA,NA,NA,NA,NA,61000,n,n,,,manzana_Butterworks_RH,2.4.2020,second,Butterworks,20,cns,yes2,,,NA,NA,NA,NA,2,BW091,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"51,000",n,n,,,manzana_Butterworks_RH,3.3.2020,third,Butterworks,20,cns,yes2,,,,,,,2,BW139,,,,,,,,no,,yes,NA,NA,NA,NA,NA,67000,n,n,,,manzana_Butterworks_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manzana_Butterworks_RH_fourth
104,,,,,y,,gloria_vonTrapp,RF,gloria_vonTrapp_RF,1.6.2020,first,vonTrapp,2,cns,yes2,,,,,,,2,VT003,,,,,,,,no,,yes,NA,NA,NA,NA,NA,200000,y,y,,,gloria_vonTrapp_RF,2.12.2020,second,vonTrapp,5,cns,yes2,cns,other18,NA,NA,NA,NA,2,VT039,VT040,NA,NA,NA,NA,,NA,tbd,NA,yes,NA,NA,NA,NA,NA,"69,000",n,n,,,gloria_vonTrapp_RF,3.10.2020,third,vonTrapp,5,cns,yes2,,,,,,,2,VT071,,,,,,,,no,,yes,NA,NA,NA,NA,NA,67000,n,n,,,gloria_vonTrapp_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gloria_vonTrapp_RF_fourth
103,,,,,y,,gloria_vonTrapp,LF,gloria_vonTrapp_LF,1.6.2020,first,vonTrapp,2,cns,yes2,cns,other18,,,,,2,VT001,VT002,,,,,,,tbd,,yes,NA,NA,NA,NA,NA,85000,n,n,,,gloria_vonTrapp_LF,2.12.2020,second,vonTrapp,5,cns,yes2,cns,other18,NA,NA,NA,NA,2,VT037,VT038,NA,NA,NA,NA,,NA,tbd,NA,yes,NA,NA,NA,NA,NA,"80,000",n,n,,,gloria_vonTrapp_LF,3.10.2020,third,vonTrapp,5,cns,yes2,,,,,,,2,VT068,,,,,,,,no,,yes,NA,NA,NA,NA,NA,67000,n,n,,,gloria_vonTrapp_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gloria_vonTrapp_LF_fourth
105,,,,,y,,irene_vonTrapp,LF,irene_vonTrapp_LF,1.6.2020,first,vonTrapp,22,cns,yes2,,,,,,,2,VT022,,,,,,,,no,,yes,NA,NA,NA,NA,NA,29000,n,n,,,irene_vonTrapp_LF,2.12.2020,second,vonTrapp,20,cns,yes2,,,NA,NA,NA,NA,2,VT050,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"50,000",n,n,,,irene_vonTrapp_LF,3.10.2020,third,vonTrapp,24,cns,yes2,,,,,,,2,VT092,,,,,,,,no,,yes,NA,NA,NA,NA,NA,69000,n,n,,,irene_vonTrapp_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,irene_vonTrapp_LF_fourth
57,,,,,y,,lop_Lynd,LH,lop_Lynd_LH,12.19.2019,first,Lynd,29,cns,yes2,,,,,,,2,LF035,,,,,,,,no,,yes,NA,NA,NA,NA,NA,56000,n,n,,,lop_Lynd_LH,1.30.2020,second,Lynd,34,cns,yes2,,,NA,NA,NA,NA,2,LF086,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"62,000",n,n,,,lop_Lynd_LH,3.5.2020,third,Lynd,28,cns,yes2,,,,,,,2,LF121,,,,,,,,no,,yes,NA,NA,NA,NA,NA,71000,n,n,,,lop_Lynd_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lop_Lynd_LH_fourth
80,,,,,y,,kyra35_Paddlebridge,RH,kyra35_Paddlebridge_RH,1.17.2020,first,Paddlebridge,8,cns,yes2,cns,other18,,,,,2,PB002,PB003,,,,,,,tbd,,yes,NA,NA,NA,NA,NA,210000,y,y,,,kyra35_Paddlebridge_RH,2.21.2020,second,Paddlebridge,10,cns,yes2,,,NA,NA,NA,NA,2,PB032,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"79,000",n,n,,,kyra35_Paddlebridge_RH,3.20.2020,third,Paddlebridge,14,cns,yes2,,,,,,,2,PB070,,,,,,,,no,,yes,NA,NA,NA,NA,NA,72000,n,n,,,kyra35_Paddlebridge_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kyra35_Paddlebridge_RH_fourth
54,,,,,y,,licorice_Lynd,RH,licorice_Lynd_RH,12.19.2019,first,Lynd,10,cns,yes2,,,,,,,2,LF012,,,,,,,,no,,yes,NA,NA,NA,NA,NA,63000,n,n,,,licorice_Lynd_RH,1.30.2020,second,Lynd,30,cns,yes2,,,NA,NA,NA,NA,2,LF081,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"70,000",n,n,,,licorice_Lynd_RH,3.5.2020,third,Lynd,14,cns,yes2,,,,,,,2,LF105,,,,,,,,no,,yes,NA,NA,NA,NA,NA,73000,n,n,,,licorice_Lynd_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,licorice_Lynd_RH_fourth
55,,,,,y,,life_Lynd,LF,life_Lynd_LF,12.19.2019,first,Lynd,3,cns,yes2,,,,,,,2,LF003,,,,,,,,no,,yes,NA,NA,NA,NA,NA,37000,n,n,,,life_Lynd_LF,1.30.2020,second,Lynd,6,cns,yes2,,,NA,NA,NA,NA,2,LF054,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"27,000",n,n,,,life_Lynd_LF,3.5.2020,third,Lynd,23,cns,yes2,,,,,,,2,LF115,,,,,,,,no,,yes,NA,NA,NA,NA,NA,74000,n,n,,,life_Lynd_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,life_Lynd_LF_fourth
86,,,,,y,,cambric_Swallowdale,LH,cambric_Swallowdale_LH,12.13.2019,first,Swallowdale,8,cns,yes2,,,,,,,2,SW010,,,,,,,,no,,yes,NA,NA,NA,NA,NA,36000,n,n,,,cambric_Swallowdale_LH,1.22.2020,second,Swallowdale,14,cns,yes2,,,NA,NA,NA,NA,2,SW072,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"200,000",y,y,,,cambric_Swallowdale_LH,2.28.2020,third,Swallowdale,17,cns,yes2,,,,,,,2,SW108,,,,,,,,no,,yes,NA,NA,NA,NA,NA,76000,n,n,,,cambric_Swallowdale_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cambric_Swallowdale_LH_fourth
110,,,,,y,,tallula_vonTrapp,RF,tallula_vonTrapp_RF,1.6.2020,first,vonTrapp,12,cns,yes2,,,,,,,2,VT013,,,,,,,,no,,yes,NA,NA,NA,NA,NA,120000,n,y,,,tallula_vonTrapp_RF,2.12.2020,second,vonTrapp,16,cns,yes2,,,NA,NA,NA,NA,2,VT049,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"53,000",n,n,,,tallula_vonTrapp_RF,3.10.2020,third,vonTrapp,16,cns,yes2,,,,,,,2,VT082,,,,,,,,no,,yes,NA,NA,NA,NA,NA,78000,n,n,,,tallula_vonTrapp_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tallula_vonTrapp_RF_fourth
109,,,,,y,,lucha_vonTrapp,RF,lucha_vonTrapp_RF,1.6.2020,first,vonTrapp,35,cns,yes2,,,,,,,2,VT031,,,,,,,,no,,yes,NA,NA,NA,NA,NA,160000,n,y,,,lucha_vonTrapp_RF,2.12.2020,second,vonTrapp,28,cns,yes2,,,NA,NA,NA,NA,2,VT059,,NA,NA,NA,NA,yes,NA,no,NA,yes,NA,NA,NA,NA,NA,"440,000",y,y,,,lucha_vonTrapp_RF,3.10.2020,third,vonTrapp,35,cns,yes2,,,,,,,2,VT100,,,,,,,,no,,yes,NA,NA,NA,NA,NA,78000,n,n,,,lucha_vonTrapp_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lucha_vonTrapp_RF_fourth
6,,,,,y,,shiela375_Paddlebridge,RH,shiela375_Paddlebridge_RH,1.17.2020,first,Paddlebridge,24,cns,yes1,,,,,,,1,PB016,,,,,,,,no,,yes,NA,NA,NA,NA,NA,440000,y,y,,,shiela375_Paddlebridge_RH,2.21.2020,second,Paddlebridge,23,cns,yes2,,,NA,NA,NA,NA,2,PB044,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"3,100,000",y,y,,,shiela375_Paddlebridge_RH,3.20.2020,third,Paddlebridge,24,cns,yes2,,,,,,,2,PB083,,,,,,,,no,,yes,NA,NA,NA,NA,NA,78000,n,n,,,shiela375_Paddlebridge_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shiela375_Paddlebridge_RH_fourth
107,,,,,y,,lilac_vonTrapp,RH,lilac_vonTrapp_RH,1.6.2020,first,vonTrapp,23,cns,yes2,,,,,,,2,VT025,,,,,,,,no,,yes,NA,NA,NA,NA,NA,35000,n,n,,,lilac_vonTrapp_RH,2.12.2020,second,vonTrapp,25,cns,yes2,,,NA,NA,NA,NA,2,VT056,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"61,000",n,n,,,lilac_vonTrapp_RH,3.10.2020,third,vonTrapp,26,cns,yes2,,,,,,,2,VT096,,,,,,,,no,,yes,NA,NA,NA,NA,NA,80000,n,n,,,lilac_vonTrapp_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lilac_vonTrapp_RH_fourth
53,,,,,y,,ladyfinger_Lynd,RH,ladyfinger_Lynd_RH,12.19.2019,first,Lynd,18,cns,yes2,,,,,,,2,LF024,,,,,,,,no,,yes,NA,NA,NA,NA,NA,68000,n,n,,,ladyfinger_Lynd_RH,1.30.2020,second,Lynd,9,cns,yes2,,,NA,NA,NA,NA,2,LF058,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"82,000",n,n,,,ladyfinger_Lynd_RH,3.5.2020,third,Lynd,26,cns,yes2,,,,,,,2,LF119,,,,,,,,no,,yes,NA,NA,NA,NA,NA,81000,n,n,,,ladyfinger_Lynd_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ladyfinger_Lynd_RH_fourth
58,,,,,y,,luxurytax_Lynd,LF,luxurytax_Lynd_LF,12.19.2019,first,Lynd,16,cns,yes2,,,,,,,2,LF022,,,,,,,,no,,yes,NA,NA,NA,NA,NA,84000,n,n,,,luxurytax_Lynd_LF,1.30.2020,second,Lynd,4,cns,yes2,,,NA,NA,NA,NA,2,LF050,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"85,000",n,n,,,luxurytax_Lynd_LF,3.5.2020,third,Lynd,27,cns,yes2,,,,,,,2,LF120,,,,,,,,no,,yes,NA,NA,NA,NA,NA,81000,n,n,,,luxurytax_Lynd_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,luxurytax_Lynd_LF_fourth
99,,,,,y,,esme_vonTrapp,LF,esme_vonTrapp_LF,1.6.2020,first,vonTrapp,11,cns,yes2,,,,,,,2,VT012,,,,,,,,no,,yes,NA,NA,NA,NA,NA,82000,n,n,,,esme_vonTrapp_LF,2.12.2020,second,vonTrapp,8,cns,yes2,,,NA,NA,NA,NA,2,VT043,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"50,000",n,n,,,esme_vonTrapp_LF,3.10.2020,third,vonTrapp,12,cns,yes2,,,,,,,2,VT077,,,,,,,,no,,yes,NA,NA,NA,NA,NA,83000,n,n,,,esme_vonTrapp_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,esme_vonTrapp_LF_fourth
76,,,,,y,,farrent31_Paddlebridge,LH,farrent31_Paddlebridge_LH,1.17.2020,first,Paddlebridge,19,cns,yes2,,,,,,,2,PB013,,,,,,,,no,,yes,NA,NA,NA,NA,NA,70000,n,n,,,farrent31_Paddlebridge_LH,2.21.2020,second,Paddlebridge,9,cns,yes2,,,NA,NA,NA,NA,2,PB030,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"46,000",n,n,,,farrent31_Paddlebridge_LH,3.20.2020,third,Paddlebridge,15,cns,yes2,,,,,,,2,PB071,,,,,,,,no,,yes,NA,NA,NA,NA,NA,85000,n,n,,,farrent31_Paddlebridge_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,farrent31_Paddlebridge_LH_fourth
14,,,,,y,,716_BJ,LH,716_BJ_LH,12.17.2019,first,BJ,4,cns,yes2,,,,,,,2,BJ003,,,,,,,,no,,yes,NA,NA,NA,NA,NA,152000,n,y,,,716_BJ_LH,1.29.2020,second,BJ,9,cns,yes2,,,NA,NA,NA,NA,2,BJ037,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"67,000",n,n,,,716_BJ_LH,2.26.2020,third,BJ,11,cns,yes1,,,,,,,1,BJ059,,,,,,,,no,,yes,NA,NA,NA,NA,NA,85000,n,n,,,716_BJ_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716_BJ_LH_fourth
16,,,,,y,,petunia_Butterworks,LH,petunia_Butterworks_LH,1.2.2020,first,Butterworks,26,cns,yes2,,,,,,,2,BW046,,,,,,,,no,,yes,NA,NA,NA,NA,NA,83000,n,n,,,petunia_Butterworks_LH,2.4.2020,second,Butterworks,27,cns,yes2,,,NA,NA,NA,NA,2,BW099,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"99,000",n,n,,,petunia_Butterworks_LH,3.3.2020,third,Butterworks,29,cns,yes1,,,,,,,1,BW152,,,,,,,,no,,yes,NA,NA,NA,NA,NA,87000,n,n,,,petunia_Butterworks_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,petunia_Butterworks_LH_fourth
