"","complex","mean","sd","n","2sd","lwr_90CI","upr_90CI"
"1","3corners",31.1428571428571,46.0631037144646,7,92.1262074289292,16.8229538901579,45.4627603955564
"2","Blue",14.5714285714286,14.45518526178,7,28.9103705235599,10.0776615918594,19.0651955509978
"3","book_cliffs",4.85714285714286,7.31274165249877,7,14.6254833049975,2.58378859893026,7.13049711535545
"4","Diamond",25.3846153846154,37.1405853066841,13,74.2811706133681,16.9120881395781,33.8571426296527
