Cow_ID,Quarter,IMI_species,SCC
Whinnie,RH,,35000
Goody,RH,,37000
Lemon,LH,,38000
Bella,RF,,39000
Butterfly,RH,,39000
Tiktac,LH,,39000
Bella,LH,,40000
Racer,RF,CNS,40000
Kit,RH,,41000
Katie,RH,,41000
Spice,LH,,42000
Alf,RH,,42000
Kit,LF,,42000
Kandykorn,LF,CNS,43000
Spice,RH,,43000
Korny,RH,CNS,43000
Kooper,LH,CNS,43000
Whinnie,LH,,43000
Alf,LF,,49000
Butterfly,RF,CNS,50000
Aloha,LF,,51000
Peacock,RH,,53000
Peonie,RF,Contaminated,54000
PG,LH,,57000
PG,RH,,57000
Gold,RF,,57000
PG,LF,,58000
Tiktoe,LF,CNS,61000
Jersey,RH,Mix_Coryne_Strep,61000
PG,RF,,62000
Spice,LF,CNS,63000
Spice,RH,,66000
Whinnie,LH,,66000
MsChar,RF,,70000
Karla,LH,CNS,70000
Maxie,LH,,71000
MsChar,LH,CNS,71000
Kit,LF,,71000
Grape,RF,CNS,71000
MsChar,RH,,75000
Honey,RH,,76000
Tiktoe,LH,CNS,77000
Honey,LH,CNS,78000
Goody,RH,,84000
Jersey,LF,SA,84000
MsChar,LF,,84000
Jenny,RF,Strep,86000
Korny,RF,CNS,90000
Ruger,LF,,92000
Maxie,RH,,94000
Honey,RF,SA,97000
ApplePie,RH,CNS,99000
Goody,LH,CNS,100000
Tiktoe,LH,CNS,110000
Maxie,LH,,110000
Kandykorn,LF,CNS,110000
Karla,RH,Mix_CNS_Strep,110000
Tiktoe,RF,CNS,110000
Katie,LH,CNS,110000
Korny,LH,Mix_CNS_Strep,120000
Kit,LH,CNS,120000
Korny,RF,CNS,130000
Jersey,LH,Mix_Coryne_Strep,130000
Karla,LH,Mix_CNS_Strep,130000
ApplePie,RH,CNS,130000
Alf,LF,,130000
Tiktoe,RH,Strep,130000
Aloha,LH,CNS,130000
Maxie,RH,,140000
Katie,RH,,140000
Racer,RF,CNS,150000
Penny,LH,,150000
Tiktoe,RF,CNS,160000
MsChar,LH,CNS,160000
MsChar,LH,CNS,170000
Katie,LH,CNS,180000
Korny,LH,Mix_CNS_Strep,180000
Katie,LH,CNS,190000
Goody,RH,,200000
Jenny,LH,Mix_CNS_Strep,200000
Korny,LF,CNS,210000
Tiktac,RH,Mix_CNS_Strep,210000
Tiktac,RF,SA,220000
Korny,LF,CNS,230000
Ginger,RH,CNS,230000
Peacock,LH,CNS,240000
Peonie,RF,CNS,240000
Butterfly,RF,CNS,240000
Racer,RF,CNS,250000
Racer,LH,CNS,250000
Pistol,RH,Mix_CNS_Strep,260000
Kit,LH,CNS,290000
Rabbit,RF,CNS,300000
