,date,visit,farm,order,cow_id,quarter,path_1,path1_IMI,path_2,path2_IMI,path_3,path3_IMI,path_4,path4_IMI,quarter_code,isolate_1,isolate_2,isolate_3,isolate_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,IMI_series,hygiene_1,hygiene_2,cc_1,cc_2,cc_3,scc,contam,contam_comment,uniqueID,,scc_div_100k,ls,ls_no_neg
1045,1.21.2020,second,Choiniere,7,40,LF,sa,yes2,,,,,,,2,CF089,,,,,,,,no,,yes,NA,NA,NA,NA,NA,540000,,,40_LF_second,,5.4,5.432959407,5.433
192,2.4.2020,second,Butterworks,30,eva,LH,sa,yes2,,,,,,,2,BW104,,,,,,,,no,,yes,NA,NA,NA,NA,NA,570000,,,eva_LH_second,,5.7,5.510961919,5.511
161,2.4.2020,second,Butterworks,20,manzana,LF,sa,yes2,,,,,,,2,BW090,,,,,,,,no,,yes,NA,NA,NA,NA,NA,610000,,,manzana_LF_second,,6.1,5.608809243,5.6088
1673,1.3.2020,first,OughtaBe,15,jersey,LF,sa,yes2,,,,,,,2,OB019,,,,,,,,no,,yes,NA,NA,NA,NA,NA,610000,,,jersey_LF_first,,6.1,5.608809243,5.6088
1956,3.12.2020,third,OughtaBe,25,tiktac,RF,sa,yes2,,,,,,,2,OB155,,,,,,,,no,,yes,NA,NA,NA,NA,NA,620000,,,tiktac_RF_third,,6.2,5.632268215,5.6323
37,1.2.2020,first,Butterworks,19,manzana,LF,sa,yes2,,,,,,,2,BW030,,,,,,,,no,,yes,NA,NA,NA,NA,NA,630000,,,manzana_LF_first,,6.3,5.655351829,5.6554
1162,2.17.2020,third,Choiniere,15,74,LF,sa,yes1,,,,,,,1,CF154,,,,,,,,,,yes,NA,NA,NA,NA,NA,650000,,,74_LF_third,,6.5,5.700439718,5.7004
2473,1.29.2020,second,BJ,7,720,LF,sa,yes2,,,,,,,2,BJ032,,,,,,,,no,,yes,NA,NA,NA,NA,NA,650000,,,720_LF_second,,6.5,5.700439718,5.7004
981,12.11.2019,first,Choiniere,18,17,RH,sa,yes2,,,,,,,2,CF038,,,,,,,,no,,yes,NA,NA,NA,NA,NA,656000,,,17_RH_first,,6.56,5.713695815,5.7137
1798,2.14.2020,second,OughtaBe,16,jersey,LF,sa,yes2,,,,,,,2,OB074,,,,,,,,no,,yes,NA,NA,NA,NA,NA,670000,,,jersey_LF_second,,6.7,5.744161096,5.7442
2672,1.6.2020,first,vonTrapp,4,leopard,LH,sa,yes2,,,,,,,2,VT005,,,,,,,,no,,yes,NA,NA,NA,NA,NA,680000,,,leopard_LH_first,,6.8,5.765534746,5.7655
1239,3.16.2020,fourth,Choiniere,10,40,LF,sa,yes2,,,,,,,2,CF203,,,,,,,,no,,yes,NA,NA,NA,NA,NA,690000,,,40_LF_fourth,,6.9,5.786596362,5.7866
943,12.11.2019,first,Choiniere,6,40,LF,sa,yes2,,,,,,,2,CF014,,,,,,,,no,,yes,NA,NA,NA,NA,NA,719000,,,40_LF_first,,7.19,5.845991771,5.846
1238,3.16.2020,fourth,Choiniere,10,40,LH,sa,yes2,,,,,,,2,CF202,,,,,,,,no,,yes,NA,NA,NA,NA,NA,720000,,,40_LH_fourth,,7.2,5.847996907,5.848
2118,2.21.2020,second,Paddlebridge,5,annabelle27,RF,sa,yes2,,,,,,,2,PB029,,,,,,,,no,,yes,NA,NA,NA,NA,NA,720000,,,annabelle27_RF_second,,7.2,5.847996907,5.848
1302,3.16.2020,fourth,Choiniere,33,97,RF,sa,yes2,,,,,,,2,CF242,,,,,,,,no,,yes,NA,NA,NA,NA,NA,740000,,,97_RF_fourth,,7.4,5.887525271,5.8875
1140,2.17.2020,third,Choiniere,7,40,LH,sa,yes2,,,,,,,2,CF142,,,,,,,,no,,yes,NA,NA,NA,NA,NA,760000,,,40_LH_third,,7.6,5.925999419,5.926
1141,2.17.2020,third,Choiniere,7,40,LF,sa,yes2,,,,,,,2,CF143,,,,,,,,no,,yes,NA,NA,NA,NA,NA,770000,,,40_LF_third,,7.7,5.944858446,5.9449
1276,3.16.2020,fourth,Choiniere,21,32,RH,sa,yes2,,,,,,,2,CF222,,,,,,,,no,,yes,NA,NA,NA,NA,NA,790000,,,32_RH_fourth,,7.9,5.981852653,5.9819
306,3.3.2020,third,Butterworks,27,eva,LH,,,,,,,,,5,BW149,,,,,,,,,,no,NA,NA,NA,NA,NA,810000,,,eva_LH_third,,8.1,6.017921908,6.0179
336,3.3.2020,third,Butterworks,35,lilac,RH,sa,yes2,,,,,,,2,BW162,,,,,,,,no,,yes,NA,NA,NA,NA,NA,810000,,,lilac_RH_third,,8.1,6.017921908,6.0179
1032,1.21.2020,second,Choiniere,3,9,RH,sa,yes2,,,,,,,2,CF084,,,,,,,,no,,yes,NA,NA,NA,NA,NA,840000,,,9_RH_second,,8.4,6.070389328,6.0704
1092,1.21.2020,second,Choiniere,24,97,RH,sa,yes2,,,,,,,2,CF117,,,,,,,,no,,yes,NA,NA,NA,NA,NA,870000,,,97_RH_second,,8.7,6.121015401,6.121
329,3.3.2020,third,Butterworks,33,applecore,RH,sa,yes2,,,,,,,2,BW157,,,,,,,,no,,yes,NA,NA,NA,NA,NA,900000,,,applecore_RH_third,,9,6.169925001,6.1699
422,12.13.2019,first,Swallowdale,28,zeal,RF,sa,yes21,,,,,,,21,SW047,,,,,,,,no,,yes,NA,NA,NA,NA,NA,919000,,,zeal_RF_first,,9.19,6.200064862,6.2001
949,12.11.2019,first,Choiniere,9,32,RH,sa,yes2,,,,,,,2,CF021,,,,,,,,no,,yes,NA,NA,NA,NA,NA,933000,,,32_RH_first,,9.33,6.221877081,6.2219
1029,1.21.2020,second,Choiniere,2,17,LF,sa,yes2,,,,,,,2,CF082,,,,,,,,no,,yes,NA,NA,NA,NA,NA,990000,,,17_LF_second,,9.9,6.307428525,6.3074
280,3.3.2020,third,Butterworks,20,manzana,LF,sa,yes2,,,,,,,2,BW138,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1000000,,,manzana_LF_third,,10,6.321928095,6.3219
311,3.3.2020,third,Butterworks,28,peace,LF,sa,yes2,,,,,,,2,BW151,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1000000,,,peace_LF_third,,10,6.321928095,6.3219
1144,2.17.2020,third,Choiniere,8,32,RH,sa,yes2,,,,,,,2,CF146,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1000000,,,32_RH_third,,10,6.321928095,6.3219
1470,2.19.2020,second,Glennview,23,165,LH,sa,yes2,,,,,,,2,GV079,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1000000,,,165_LH_second,,10,6.321928095,6.3219
2258,3.20.2020,third,Paddlebridge,8,annabelle27,RF,sa,yes2,,,,,,,2,PB068,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1000000,,,annabelle27_RF_third,,10,6.321928095,6.3219
203,2.4.2020,second,Butterworks,33,applecore,LH,sa,yes2,,,,,,,2,BW108,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1100000,,,applecore_LH_second,,11,6.459431619,6.4594
571,1.22.2020,second,Swallowdale,35,gigi,RH,sa,yes2,,,,,,,2,SW091,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1100000,,,gigi_RH_second,,11,6.459431619,6.4594
1076,1.21.2020,second,Choiniere,17,32,RH,sa,yes2,,,,,,,2,CF106,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1200000,,,32_RH_second,,12,6.584962501,6.585
1135,2.17.2020,third,Choiniere,5,17,RH,sa,yes2,,,,,,,2,CF140,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1200000,,,17_RH_third,,12,6.584962501,6.585
1146,2.17.2020,third,Choiniere,9,9,RH,sa,yes2,,,,,,,2,CF147,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1200000,,,9_RH_third,,12,6.584962501,6.585
942,12.11.2019,first,Choiniere,6,40,LH,sa,yes2,,,,,,,2,CF013,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1244000,,,40_LH_first,,12.44,6.63691458,6.6369
1290,3.16.2020,fourth,Choiniere,29,9,RH,sa,yes2,,,,,,,2,CF230,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1300000,,,9_RH_fourth,,13,6.700439718,6.7004
1301,3.16.2020,fourth,Choiniere,33,97,RH,sa,yes2,,,,,,,2,CF241,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1300000,,,97_RH_fourth,,13,6.700439718,6.7004
1030,1.21.2020,second,Choiniere,2,17,RH,sa,yes2,,,,,,,2,CF083,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1400000,,,17_RH_second,,14,6.807354922,6.8074
1197,2.17.2020,third,Choiniere,27,97,LF,sa,yes2,,,,,,,2,CF173,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1400000,,,97_LF_third,,14,6.807354922,6.8074
3070,12.19.2019,first,Lynd,26,moonwalk,LH,sa,yes2,,,,,,,2,LF029,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1407000,,,moonwalk_LH_first,,14.07,6.814550423,6.8146
1044,1.21.2020,second,Choiniere,7,40,LH,sa,yes2,,,,,,,2,CF088,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1500000,,,40_LH_second,,15,6.906890596,6.9069
1086,1.21.2020,second,Choiniere,23,93,LH,sa,yes2,,,,,,,2,CF113,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1700000,,,93_LH_second,,17,7.087462841,7.0875
1172,2.17.2020,third,Choiniere,18,93,LF,sa,yes2,,,,,,,2,CF158,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1800000,,,93_LF_third,,18,7.169925001,7.1699
2087,1.17.2020,first,Paddlebridge,31,marney382,LF,sa,yes1,,,,,,,1,PB025,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1800000,,,marney382_LF_first,,18,7.169925001,7.1699
1007,12.11.2019,first,Choiniere,27,97,RF,sa,yes2,,,,,,,2,CF051,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1866000,,,97_RF_first,,18.66,7.221877081,7.2219
1328,1.14.2020,first,Glennview,6,165,LH,sa,yes2,,,,,,,2,GV008,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1900000,,,165_LH_first,,19,7.247927513,7.2479
1747,2.14.2020,second,OughtaBe,1,easter,RF,sa,yes2,,,,,,,2,OB055,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1900000,,,easter_RF_second,,19,7.247927513,7.2479
1093,1.21.2020,second,Choiniere,24,97,RF,sa,yes2,,,,,,,2,CF118,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000000,,,97_RF_second,,20,7.321928095,7.3219
2317,3.20.2020,third,Paddlebridge,25,marney382,LF,sa,yes2,,,,,,,2,PB086,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2100000,,,marney382_LF_third,,21,7.392317423,7.3923
1537,3.19.2020,third,Glennview,8,165,LH,sa,yes2,,,,,,,2,GV113,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2400000,,,165_LH_third,,24,7.584962501,7.585
1087,1.21.2020,second,Choiniere,23,93,LF,sa,yes2,,,,,,,2,CF114,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2500000,,,93_LF_second,,25,7.64385619,7.6439
3213,1.30.2020,second,Lynd,31,cheese,LF,sa,yes2,,,,,,,2,LF082,,,,yes,,,,no,,yes,NA,NA,NA,NA,NA,2600000,,,cheese_LF_second,,26,7.700439718,7.7004
330,3.3.2020,third,Butterworks,33,applecore,RF,sa,yes2,,,,,,,2,BW158,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2700000,,,applecore_RF_third,,27,7.754887502,7.7549
1822,2.14.2020,second,OughtaBe,23,gold,RH,sa,yes2,,,,,,,2,OB090,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2700000,,,gold_RH_second,,27,7.754887502,7.7549
687,2.28.2020,third,Swallowdale,31,gigi,RH,sa,yes1,,,,,,,1,SW126,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3000000,,,gigi_RH_third,,30,7.906890596,7.9069
1262,3.16.2020,fourth,Choiniere,16,17,RH,sa,yes2,,,,,,,2,CF214,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3000000,,,17_RH_fourth,,30,7.906890596,7.9069
2320,3.20.2020,third,Paddlebridge,26,shania291,LF,sa,yes1,,,,,,,1,PB089,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3200000,,,shania291_LF_third,,32,8,8
2585,2.26.2020,third,BJ,12,720,LF,sa,yes2,,,,,,,2,BJ060,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3600000,,,720_LF_third,,36,8.169925001,8.1699
81,1.2.2020,first,Butterworks,32,lilac,RH,sa,yes2,,,,,,,2,BW062,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3700000,,,lilac_RH_first,,37,8.209453366,8.2095
75,1.2.2020,first,Butterworks,30,applecore,RF,sa,yes2,,,,,,,2,BW058,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3800000,,,applecore_RF_first,,38,8.247927513,8.2479
1019,12.11.2019,first,Choiniere,32,93,RH,sa,yes2,,,,,,,2,CF058,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3972000,,,93_RH_first,,39.72,8.311793718,8.3118
2178,2.21.2020,second,Paddlebridge,22,marney382,LF,sa,yes2,,,,,,,2,PB042,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4100000,,,marney382_LF_second,,41,8.357552005,8.3576
2587,2.26.2020,third,BJ,12,720,RF,sa,yes2,,,,,,,2,BJ062,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4100000,,,720_RF_third,,41,8.357552005,8.3576
2060,1.17.2020,first,Paddlebridge,23,shania291,LF,sa,yes2,,,,,,,2,PB015,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4200000,,,shania291_LF_first,,42,8.392317423,8.3923
205,2.4.2020,second,Butterworks,33,applecore,RF,sa,yes2,,,,,,,2,BW109,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4400000,,,applecore_RF_second,,44,8.459431619,8.4594
1628,1.3.2020,first,OughtaBe,1,easter,RF,sa,yes2,,,,,,,2,OB001,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4900000,,,easter_RF_first,,49,8.614709844,8.6147
1006,12.11.2019,first,Choiniere,27,97,RH,sa,yes2,,,,,,,2,CF050,,,,,,,,no,,yes,NA,NA,NA,NA,NA,5253000,,,97_RH_first,,52.53,8.715069679,8.7151
2187,2.21.2020,second,Paddlebridge,25,shania291,LF,sa,yes1,,,,,,,1,PB050,,,,,,,,no,,yes,NA,NA,NA,NA,NA,6400000,,,shania291_LF_second,,64,9,9
201,2.4.2020,second,Butterworks,32,lilac,RH,sa,yes2,,,,,,,2,BW107,,,,,,,,no,,yes,NA,NA,NA,NA,NA,6800000,,,lilac_RH_second,,68,9.087462841,9.0875
72,1.2.2020,first,Butterworks,30,applecore,LH,sa,yes2,,,,,,,2,BW056,,,,,,,,no,,yes,NA,NA,NA,NA,NA,8900000,,,applecore_LH_first,,89,9.475733431,9.4757
831,1.10.2020,second,StonyPond,4,wynona,RF,serratia,yes2,,,,,,,2,SP040,,,,,,,,no,,yes,NA,NA,NA,NA,NA,10000000,,,wynona_RF_second,,100,9.64385619,9.6439
69,1.2.2020,first,Butterworks,29,bon,LH,strep,yes27,cns,yes27,,,,,27,BW054,BW055,,,,,,,yes,,yes,NA,NA,NA,NA,NA,5000,,,bon_LH_first,,0.05,-1.321928095,0
936,12.11.2019,first,Choiniere,4,66,RH,strep,yes27,cns,yes27,,,,,27,CF006,CF007,,,,,,,yes,,yes,NA,NA,NA,NA,NA,5000,,,66_RH_first,,0.05,-1.321928095,0
51,1.2.2020,first,Butterworks,23,jolene,LF,strep,yes1,cns,no5,,,,,1,BW041,BW042,,,,,,,no,,yes,NA,NA,NA,NA,NA,44000,,,jolene_LF_first,,0.44,1.815575429,1.8156
10,1.2.2020,first,Butterworks,6,pomme,RH,strep,yes27,cns,yes27,,,,,27,BW007,BW008,,,,,,,yes,,yes,NA,NA,NA,NA,NA,54000,,,pomme_RH_first,,0.54,2.111031312,2.111
2161,2.21.2020,second,Paddlebridge,18,likely30,LH,strep,yes27,cns,yes27,,,,,27,PB036,PB037,,,,,,,yes,,yes,NA,NA,NA,NA,NA,72000,,,likely30_LH_second,,0.72,2.526068812,2.5261
644,2.28.2020,third,Swallowdale,20,sondra,LF,strep,yes27,cns,yes27,,,,,27,SW109,SW110,,,,,,,yes,,yes,NA,NA,NA,NA,NA,87000,,,sondra_LF_third,,0.87,2.799087306,2.7991
1587,3.19.2020,third,Glennview,24,54,LH,strep,yes27,cns,yes27,,,,,27,GV137,GV138,,,,,,,yes,,yes,NA,NA,NA,NA,NA,87000,,,54_LH_third,,0.87,2.799087306,2.7991
545,1.22.2020,second,Swallowdale,28,sondra,LF,strep,yes27,cns,yes27,,,,,27,SW080,SW081,,,,,,,yes,,yes,NA,NA,NA,NA,NA,89000,,,sondra_LF_second,,0.89,2.831877241,2.8319
1805,2.14.2020,second,OughtaBe,18,karla,RH,strep,yes27,cns,yes27,,,,,27,OB080,OB081,,,,,,,yes,,yes,NA,NA,NA,NA,NA,110000,,,karla_RH_second,,1.1,3.137503524,3.1375
1683,1.3.2020,first,OughtaBe,19,karla,LH,strep,yes27,cns,yes27,,,,,27,OB024,OB025,,,,,,,yes,,yes,NA,NA,NA,NA,NA,130000,,,karla_LH_first,,1.3,3.378511623,3.3785
2037,1.17.2020,first,Paddlebridge,17,likely30,LH,strep,yes27,cns,yes27,,,,,27,PB009,PB008,,,,,,,yes,,yes,NA,NA,NA,NA,NA,130000,,,likely30_LH_first,,1.3,3.378511623,3.3785
1781,2.14.2020,second,OughtaBe,11,korny,LH,strep,yes27,cns,yes27,,,,,27,OB064,OB065,,,,,,,yes,,yes,NA,NA,NA,NA,NA,180000,,,korny_LH_second,,1.8,3.847996907,3.848
1436,2.19.2020,second,Glennview,13,54,LH,strep,yes27,cns,yes27,,,,,27,GV064,GV065,,,,,,,yes,,yes,NA,NA,NA,NA,NA,190000,,,54_LH_second,,1.9,3.925999419,3.926
1950,3.12.2020,third,OughtaBe,24,jenny,LH,strep,yes27,cns,yes27,,,,,27,OB150,OB151,,,,,,,yes,,yes,NA,NA,NA,NA,NA,200000,,,jenny_LH_third,,2,4,4
1716,1.3.2020,first,OughtaBe,28,tiktac,RH,strep,yes27,cns,yes27,,,,,27,OB036,OB037,,,,,,,yes,,yes,NA,NA,NA,NA,NA,210000,,,tiktac_RH_first,,2.1,4.070389328,4.0704
103,2.4.2020,second,Butterworks,5,pomme,RH,strep,yes27,cns,yes27,,,,,27,BW075,BW076,,,,,,,yes,,yes,NA,NA,NA,NA,NA,230000,,,pomme_RH_second,,2.3,4.201633861,4.2016
301,3.3.2020,third,Butterworks,25,nellie,RF,strep,yes27,cns,yes27,,,,,27,BW146,BW147,,,,,,,yes,,yes,NA,NA,NA,NA,NA,230000,,,nellie_RF_third,,2.3,4.201633861,4.2016
1300,3.16.2020,fourth,Choiniere,33,97,LF,strep,yes27,cns,yes27,,,,,27,CF239,CF240,,,,,,,yes,,yes,NA,NA,NA,NA,NA,240000,,,97_LF_fourth,,2.4,4.263034406,4.263
1833,2.14.2020,second,OughtaBe,27,pistol,RH,strep,yes27,cns,yes27,,,,,27,OB092,OB093,,,,,,,yes,,yes,NA,NA,NA,NA,NA,260000,,,pistol_RH_second,,2.6,4.378511623,4.3785
1332,1.14.2020,first,Glennview,7,54,LH,strep,yes27,cns,yes27,?,other31,,,27,GV012,GV013,GV0049,,,,,,yes,,yes,NA,NA,NA,NA,NA,270000,,,54_LH_first,,2.7,4.432959407,4.433
1337,1.14.2020,first,Glennview,9,456,LH,strep,yes27,cns,yes27,,,,,27,GV017,GV018,,,,,,,yes,,yes,NA,NA,NA,NA,NA,290000,,,456_LH_first,,2.9,4.5360529,4.5361
176,2.4.2020,second,Butterworks,24,nellie,RF,strep,yes27,cns,yes27,,,,,27,BW095,BW096,,,,,,,no,,yes,NA,NA,NA,NA,NA,310000,,,nellie_RF_second,,3.1,4.632268215,4.6323
679,2.28.2020,third,Swallowdale,29,denver,LF,strep,yes27,cns,yes27,,,,,27,SW123,SW124,,,,,,,yes,,yes,NA,NA,NA,NA,NA,380000,,,denver_LF_third,,3.8,4.925999419,4.926
2038,1.17.2020,first,Paddlebridge,17,likely30,LF,strep,yes27,cns,yes27,,,,,27,PB010,PB011,,,,,,,yes,,yes,NA,NA,NA,NA,NA,500000,,,likely30_LF_first,,5,5.321928095,5.3219
2162,2.21.2020,second,Paddlebridge,18,likely30,LF,strep,yes27,cns,yes27,,,,,27,PB038,PB039,,,,,,,yes,,yes,NA,NA,NA,NA,NA,570000,,,likely30_LF_second,,5.7,5.510961919,5.511
1866,2.14.2020,second,OughtaBe,36,applepie,RF,strep,yes27,cns,yes27,,,,,27,OB106,OB107,,,,,,,yes,,yes,NA,NA,NA,NA,NA,1200000,,,applepie_RF_second,,12,6.584962501,6.585
607,2.28.2020,third,Swallowdale,9,29,RF,strep,yes27,cns,yes27,,,,,27,SW099,SW100,,,,,,,yes,,yes,NA,NA,NA,NA,NA,1800000,,,29_RF_third,,18,7.169925001,7.1699
1516,2.19.2020,second,Glennview,36,93,RH,strep,yes27,cns,yes27,,,,,27,GV099,GV100,,,,,,,yes,,yes,NA,NA,NA,NA,NA,3900000,,,93_RH_second,,39,8.285402219,8.2854
969,12.11.2019,first,Choiniere,14,3,RF,strep,yes27,corynebac,yes27,,,,,27,CF028,CF029,,,,,,,yes,,yes,NA,NA,NA,NA,NA,2000,,,3_RF_first,,0.02,-2.64385619,0
957,12.11.2019,first,Choiniere,11,41,RF,strep,yes27,corynebac,,,,,,27,CF024,CF025,,,,,,,yes,,yes,NA,NA,NA,NA,NA,5000,,,41_RF_first,,0.05,-1.321928095,0
645,2.28.2020,third,Swallowdale,20,sondra,RH,strep,yes29,corynebac,other29,,,,,29,SW111,SW112,,,,,,,no,,yes,NA,NA,NA,NA,NA,7000,,,sondra_RH_third,,0.07,-0.836501268,0
1415,2.19.2020,second,Glennview,6,194,RH,strep,yes27,corynebac,yes27,,,,,27,GV056,GV057,,,,,,,yes,,yes,NA,NA,NA,NA,NA,10000,,,194_RH_second,,0.1,-0.321928095,0
29,1.2.2020,first,Butterworks,16,mustard,LH,strep,yes27,corynebac,yes27,,,,,27,BW017,BW018,,,,,,,yes,,yes,NA,NA,NA,NA,NA,12000,,,mustard_LH_first,,0.12,-0.058893689,0
2595,2.26.2020,third,BJ,15,693,RH,strep,yes27,corynebac,yes27,,,,,27,BJ067,BJ068,,,,,,,yes,,yes,NA,NA,NA,NA,NA,13000,,,693_RH_third,,0.13,0.056583528,0.0566
1799,2.14.2020,second,OughtaBe,16,jersey,RH,strep,yes27,corynebac,yes27,,,,,27,OB075,OB076,,,,,,,yes,,yes,NA,NA,NA,NA,NA,61000,,,jersey_RH_second,,0.61,2.286881148,2.2869
1175,2.17.2020,third,Choiniere,19,86,RH,strep,yes27,corynebac,yes27,,,,,27,CF165,CF166,,,,,,,yes,,yes,NA,NA,NA,NA,NA,120000,,,86_RH_third,,1.2,3.263034406,3.263
1672,1.3.2020,first,OughtaBe,15,jersey,LH,strep,yes27,corynebac,yes27,,,,,27,OB020,OB021,,,,,,,yes,,yes,NA,NA,NA,NA,NA,130000,,,jersey_LH_first,,1.3,3.378511623,3.3785
1555,3.19.2020,third,Glennview,13,93,RH,strep,yes27,corynebac,yes27,,,,,27,GV125,GV126,,,,,,,no,,yes,NA,NA,NA,NA,NA,380000,,,93_RH_third,,3.8,4.925999419,4.926
940,12.11.2019,first,Choiniere,5,86,RH,strep,yes27,corynebac,yes27,,,,,27,CF010,CF011,,,,,,,yes,,yes,NA,NA,NA,NA,NA,482000,,,86_RH_first,,4.82,5.269033146,5.269
1217,3.16.2020,fourth,Choiniere,1,86,RH,strep,yes27,corynebac,yes27,,,,,27,CF186,CF187,,,,,,,,,yes,NA,NA,NA,NA,NA,560000,,,86_RH_fourth,,5.6,5.485426827,5.4854
1218,3.16.2020,fourth,Choiniere,1,86,RF,strep,yes27,corynebac,yes27,,,,,27,CF188,CF189,,,,,,,,,yes,NA,NA,NA,NA,NA,800000,,,86_RF_fourth,,8,6,6
84,1.2.2020,first,Butterworks,33,plantain,RF,strep,yes27,corynebac,yes27,,,,,27,BW065,BW066,,,,,,,yes,,yes,NA,NA,NA,NA,NA,930000,,,plantain_RF_second,,9.3,6.217230716,6.2172
1215,3.16.2020,fourth,Choiniere,1,86,LH,strep,yes24,corynebac,yes24,sa,yes24,,,24,CF182,CF183,CF184,,,,,,yes,,yes,NA,NA,NA,NA,NA,1000000,,,86_LH_fourth,,10,6.321928095,6.3219
1198,2.17.2020,third,Choiniere,27,97,RF,strep,yes27,corynebac,yes27,,,,,27,CF170,CF171,,,,,,,yes,,yes,NA,NA,NA,NA,NA,1900000,,,97_RF_third,,19,7.247927513,7.2479
2453,1.29.2020,second,BJ,2,656,LH,strep,yes27,sa,yes27,,,,,27,BJ027,BJ028,,,,,,,yes,,yes,NA,NA,NA,NA,NA,810000,,,656_LH_second,,8.1,6.017921908,6.0179
1593,3.19.2020,third,Glennview,26,27,LH,strep,yes27,sa,yes27,,,,,27,GV142,GV143,,,,,,,yes,,yes,NA,NA,NA,NA,NA,850000,,,27_LH_third,,8.5,6.087462841,6.0875
350,12.13.2019,first,Swallowdale,4,deedee,RH,strep,yes27,strep,yes27,,,,,27,SW005,SW006,,,,,,,tbd,,yes,NA,NA,NA,NA,NA,50000,,,deedee_RH_first,,0.5,2,2
1176,2.17.2020,third,Choiniere,19,86,RF,strep,yes27,strep,yes27,,,,,27,CF163,CF164,,,,,,,yes,,yes,NA,NA,NA,NA,NA,710000,,,86_RF_third,,7.1,5.827819025,5.8278
1651,1.3.2020,first,OughtaBe,8,izzie,RH,strep,yes1,,,,,,,1,OB005,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,izzie_RH_first,,0.02,-2.64385619,0
615,2.28.2020,third,Swallowdale,12,maisie,RH,strep,yes2,,,,,,,2,SW104,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3000,,,maisie_RH_third,,0.03,-2.058893689,0
3034,12.19.2019,first,Lynd,14,zoe,RF,strep,yes2,,,,,,,2,LF018,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3000,,,zoey_RF_first,,0.03,-2.058893689,0
338,12.13.2019,first,Swallowdale,1,pledge,LH,strep,yes1,,,,,,,1,SW001,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4000,,,pledge_LH_first,,0.04,-1.64385619,0
2365,12.17.2019,first,BJ,5,cb5,RH,strep,yes1,,,,,,,1,BJ006,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4000,,,cb5_RH_first,,0.04,-1.64385619,0
1899,3.12.2020,third,OughtaBe,8,jersey,RH,strep,yes29,,,,,,,29,OB122,,,,,,,,no,,yes,NA,NA,NA,NA,NA,5000,,,jersey_RH_third,,0.05,-1.321928095,0
2897,3.10.2020,third,vonTrapp,6,luna,LH,strep,yes1,,,,,,,1,VT072,,,,,,,,no,,yes,NA,NA,NA,NA,NA,6000,,,luna_LH_third,,0.06,-1.058893689,0
2600,2.26.2020,third,BJ,17,738,RH,strep,yes2,,,,,,,2,BJ070,,,,,,,,no,,yes,NA,NA,NA,NA,NA,7000,,,738_RH_third,,0.07,-0.836501268,0
1468,2.19.2020,second,Glennview,22,139,LH,strep,yes2,,,,,,,2,GV077,,,,,,,,no,,yes,NA,NA,NA,NA,NA,8000,,,139_LH_second,,0.08,-0.64385619,0
