uniqueID,status
74_Choiniere_RH_third,nyyt
denise_Swallowdale_RH_second,nyyt
jazz_Swallowdale_LH_first,nyyt
93_Choiniere_LF_second,nyyt
3_Choiniere_RH_fourth,nyyt
annabeth2_Paddlebridge_LF_first,nyyt
9_Choiniere_RH_third,nyyt
jersey_OughtaBe_RH_third,nyyt
marney382_Paddlebridge_LH_first,nyyt
kodiak_Lynd_LH_second,nyyt
jersey_OughtaBe_RH_second,nyyt
93_Choiniere_LF_fourth,nyyt
720_BJ_RF_second,nyyt
9_Choiniere_RH_first,nyyt
denise_Swallowdale_RH_first,nyyt
kodiak_Lynd_LH_third,nyyt
93_Choiniere_LF_first,nyyt
9_Choiniere_RH_second,nyyt
kodiak_Lynd_LH_first,nyyt
720_BJ_RF_first,nyyt
bon_Butterworks_RF_first,yyy
honey_OughtaBe_RF_first,yyy
echo_StonyPond_LH_first,yyy
likely30_Paddlebridge_RF_third,yyy
gift379_Paddlebridge_RF_third,yyy
amarillo_Lynd_RF_second,yyy
ardetta_vonTrapp_RF_first,yyy
gift379_Paddlebridge_LF_third,yyy
flavia_vonTrapp_RH_second,yyy
panda_vonTrapp_RH_second,yyy
ladyfinger_Lynd_RH_third,yyy
sapphire338_Paddlebridge_RH_third,yyy
720_BJ_RH_first,yyy
cassia_Swallowdale_RH_second,yyy
kyra35_Paddlebridge_RH_first,yyy
rashida_StonyPond_LH_first,yyy
wynona_StonyPond_LH_first,yyy
wynona_StonyPond_LF_second,yyy
cb5_BJ_LH_third,yyy
4_Choiniere_RF_first,yyy
kyra35_Paddlebridge_RH_third,yyy
saige313_Paddlebridge_RH_third,yyy
racer_OughtaBe_LH_third,yyy
peaches_StonyPond_LH_second,yyy
kit_OughtaBe_LH_first,yyy
lilac_Butterworks_RH_first,yyy
paige_Swallowdale_RH_second,yyy
193_Glennview_RF_second,yyy
paige_Swallowdale_RH_first,yyy
42_Glennview_LF_third,yyy
kowabunga_Lynd_RF_third,yyy
gift379_Paddlebridge_LF_first,yyy
amarillo_Lynd_LH_second,yyy
gloria_vonTrapp_LF_second,yyy
56_Choiniere_LF_third,yyy
731_BJ_LF_first,yyy
petunia_Butterworks_LH_second,yyy
applecore_Butterworks_LH_first,yyy
kandykorn_OughtaBe_LF_third,yyy
racer_OughtaBe_LH_second,yyy
17_Choiniere_RH_first,yyy
flavia_vonTrapp_RH_first,yyy
jersey_OughtaBe_LF_first,yyy
licorice_Lynd_RH_second,yyy
ashley_StonyPond_LH_first,yyy
cambric_Swallowdale_LH_second,yyy
margo_StonyPond_LH_second,yyy
riley_StonyPond_RF_first,yyy
ferrari28_Paddlebridge_RH_first,yyy
marshmellow_Swallowdale_RF_first,yyy
rashida_StonyPond_LH_second,yyy
kowabunga_Lynd_RF_first,yyy
saige313_Paddlebridge_LF_third,yyy
169_Glennview_RF_third,yyy
farrent31_Paddlebridge_RH_first,yyy
gift379_Paddlebridge_RF_first,yyy
nellie_Butterworks_RH_second,yyy
fitzi13_Paddlebridge_RF_first,yyy
snowball_Butterworks_RH_first,yyy
flavia_vonTrapp_LF_second,yyy
peace_Butterworks_LF_first,yyy
farrah363_Paddlebridge_LF_first,yyy
wildcucumber_Butterworks_LH_first,yyy
ambrosia_Lynd_LH_second,yyy
esme_vonTrapp_LH_second,yyy
tallula_vonTrapp_RF_second,yyy
flavia_vonTrapp_LF_first,yyy
720_BJ_LF_first,yyy
720_BJ_RH_third,yyy
pledge_Swallowdale_RH_second,yyy
marjoram_Butterworks_RH_second,yyy
fitzi13_Paddlebridge_RF_third,yyy
ladyfinger_Lynd_RH_second,yyy
pasta_Swallowdale_LF_first,yyy
quantum_Swallowdale_LF_first,yyy
zsazsa_Lynd_RH_third,yyy
cassia_Swallowdale_LH_first,yyy
annabelle27_Paddlebridge_RF_first,yyy
esme_vonTrapp_LF_second,yyy
17_Choiniere_LF_first,yyy
life_Lynd_LF_second,yyyt
17_Choiniere_RH_first,yyyt
fitzi13_Paddlebridge_RF_second,yyyt
zelda_vonTrapp_LF_first,yyyt
manzana_Butterworks_RH_third,yyyt
zelda_vonTrapp_LF_second,yyyt
life_Lynd_LF_first,yyyt
17_Choiniere_RH_third,yyyt
snowball_Butterworks_RF_first,yyyt
snowball_Butterworks_RF_third,yyyt
shiela375_Paddlebridge_RH_second,yyyt
fitzi13_Paddlebridge_RF_third,yyyt
fitzi13_Paddlebridge_RF_first,yyyt
kowabunga_Lynd_LF_second,yyyt
shiela375_Paddlebridge_RH_third,yyyt
17_Choiniere_RH_second,yyyt
716_BJ_LH_first,yyyt
56_Choiniere_LF_second,yyyt
56_Choiniere_LF_third,yyyt
manzana_Butterworks_RH_first,yyyt
56_Choiniere_LF_first,yyyt
manzana_Butterworks_RH_second,yyyt
shiela375_Paddlebridge_RH_first,yyyt
716_BJ_LH_second,yyyt
kowabunga_Lynd_LF_third,yyyt
life_Lynd_LF_third,yyyt
snowball_Butterworks_RF_second,yyyt
zelda_vonTrapp_LF_third,yyyt
716_BJ_LH_third,yyyt
kowabunga_Lynd_LF_first,yyyt
