"","date","visit","farm","order","cow_id","quarter","path_1","path1_IMI","path_2","path2_IMI","path_3","path3_IMI","path_4","path4_IMI","quarter_code","isolate_1","isolate_2","isolate_3","isolate_4","clinical","blind","teatinj","pstmilking","mixed_inf_series","dup_not_collected","IMI_series","hygiene_1","hygiene_2","cc_1","cc_2","cc_3","scc","contam","contam_comment","uniqueID","scc_eq_above_200k","scc_eq_above_100k"
"36","2.4.2020","second","Butterworks",1,"masala","RH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",33000,"","","masala_RH_second","no","no"
"37","2.4.2020","second","Butterworks",2,"strawberry","LH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",13000,"","","strawberry_LH_second","no","no"
"38","2.4.2020","second","Butterworks",2,"strawberry","LF","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",9000,"","","strawberry_LF_second","no","no"
"39","2.4.2020","second","Butterworks",2,"strawberry","RH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",11000,"","","strawberry_RH_second","no","no"
"40","2.4.2020","second","Butterworks",2,"strawberry","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",9000,"","","strawberry_RF_second","no","no"
"41","2.4.2020","second","Butterworks",3,"muffin","LF","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",11000,"","","muffin_LF_second","no","no"
"42","2.4.2020","second","Butterworks",3,"muffin","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",7000,"","","muffin_RF_second","no","no"
"43","2.4.2020","second","Butterworks",4,"mango","LH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",4000,"","","mango_LH_second","no","no"
"44","2.4.2020","second","Butterworks",4,"mango","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",6000,"","","mango_LF_second","no","no"
"45","2.4.2020","second","Butterworks",4,"mango","RH","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",4000,"","","mango_RH_second","no","no"
"46","2.4.2020","second","Butterworks",4,"mango","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",5000,"","","mango_RF_second","no","no"
"47","2.4.2020","second","Butterworks",5,"pomme","LH","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",6000,"","","pomme_LH_second","no","no"
"48","2.4.2020","second","Butterworks",5,"pomme","RF","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",11000,"","","pomme_RF_second","no","no"
"49","2.4.2020","second","Butterworks",6,"noel","LH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",5000,"","","noel_LH_second","no","no"
"50","2.4.2020","second","Butterworks",6,"noel","RH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",6000,"","","noel_RH_second","no","no"
"51","2.4.2020","second","Butterworks",6,"noel","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",7000,"","","noel_RF_second","no","no"
"52","2.4.2020","second","Butterworks",7,"pearl","LH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",45000,"","","pearl_LH_second","no","no"
"53","2.4.2020","second","Butterworks",7,"pearl","LF","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",43000,"","","pearl_LF_second","no","no"
"54","2.4.2020","second","Butterworks",7,"pearl","RH","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",36000,"","","pearl_RH_second","no","no"
"55","2.4.2020","second","Butterworks",8,"happiness","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",12000,"","","happiness_LF_second","no","no"
"56","2.4.2020","second","Butterworks",8,"happiness","RH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",21000,"","","happiness_RH_second","no","no"
"57","2.4.2020","second","Butterworks",8,"happiness","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",14000,"","","happiness_RF_second","no","no"
"58","2.4.2020","second","Butterworks",9,"wildcucumber","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",23000,"","","wildcucumber_LF_second","no","no"
"59","2.4.2020","second","Butterworks",9,"wildcucumber","RH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",15000,"","","wildcucumber_RH_second","no","no"
"60","2.4.2020","second","Butterworks",9,"wildcucumber","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",21000,"","","wildcucumber_RF_second","no","no"
"61","2.4.2020","second","Butterworks",10,"blackberry","LH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",28000,"","","blackberry_LH_second","no","no"
"62","2.4.2020","second","Butterworks",10,"blackberry","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",28000,"","","blackberry_LF_second","no","no"
"63","2.4.2020","second","Butterworks",10,"blackberry","RH","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",42000,"","","blackberry_RH_second","no","no"
"64","2.4.2020","second","Butterworks",10,"blackberry","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",24000,"","","blackberry_RF_second","no","no"
"65","2.4.2020","second","Butterworks",11,"rhubarb","LH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",3000,"","","rhubarb_LH_second","no","no"
"66","2.4.2020","second","Butterworks",11,"rhubarb","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",5000,"","","rhubarb_LF_second","no","no"
