date,visit,farm,order,cow_id,quarter,path_1,path1_imi,path_2,path2_imi,path_3,path3_imi,path_4,path4_imi,quarter_code,isolate_1,path_1_maldi_final_id,fix_1,isolate_2,path_2_maldi_final_id,fix_2,isolate_3,path_3_maldi_final_id,fix_3,isolate_4,path_4_maldi_final_id,fix_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,imi_series,hygiene_scorer_1,hygiene_1,hygiene_scorer_2,hygiene_2,cc_1,cc_2,cc_3,path_group,scc,contam,contam_comment
12.13.2019,first,swallowdale,18,halo,LH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,5000,,
12.13.2019,first,swallowdale,18,halo,LF,,,,,,,,,6,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,6000,,
12.13.2019,first,swallowdale,18,halo,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,9000,,
12.13.2019,first,swallowdale,19,sonic,LF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,14000,,
12.13.2019,first,swallowdale,19,sonic,RF,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,9000,,
12.13.2019,first,swallowdale,20,sadie,LH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,5000,,
12.13.2019,first,swallowdale,20,sadie,RH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,4000,,
12.13.2019,first,swallowdale,20,sadie,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,3000,,
12.13.2019,first,swallowdale,21,pasta,LH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,21000,,
12.13.2019,first,swallowdale,21,pasta,RH,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,16000,,
12.13.2019,first,swallowdale,21,pasta,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,16000,,
12.13.2019,first,swallowdale,22,pamela,LF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,8000,,
12.13.2019,first,swallowdale,22,pamela,RH,,,,,,,,,6,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,3000,,
12.13.2019,first,swallowdale,23,rock7,LH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,6000,,
12.13.2019,first,swallowdale,23,rock7,LF,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,8000,,
12.13.2019,first,swallowdale,23,rock7,RH,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,9000,,
12.13.2019,first,swallowdale,23,rock7,RF,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,7000,,
12.13.2019,first,swallowdale,24,flossy,RH,,,,,,,,,6,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,3000,,
12.13.2019,first,swallowdale,24,flossy,RF,,,,,,,,,6,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,4000,,
12.13.2019,first,swallowdale,25,zap,LH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,10000,,
12.13.2019,first,swallowdale,25,zap,LF,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,22000,,
12.13.2019,first,swallowdale,25,zap,RH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,12000,,
12.13.2019,first,swallowdale,25,zap,RF,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,11000,,
12.13.2019,first,swallowdale,26,amber,RH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,5000,,
12.13.2019,first,swallowdale,26,amber,RF,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,8000,,
12.13.2019,first,swallowdale,29,ferris,LH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,63000,,
12.13.2019,first,swallowdale,29,ferris,LF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,7000,,
12.13.2019,first,swallowdale,29,ferris,RH,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,83000,,
12.13.2019,first,swallowdale,29,ferris,RF,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,24000,,
12.13.2019,first,swallowdale,30,cassia,LF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,139000,,
12.13.2019,first,swallowdale,30,cassia,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,9000,,
12.13.2019,first,swallowdale,31,jewel,LF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,0,,
12.13.2019,first,swallowdale,31,jewel,RH,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,5000,,
12.13.2019,first,swallowdale,31,jewel,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,3000,,
12.13.2019,first,swallowdale,32,debutant,LF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,35000,,
12.13.2019,first,swallowdale,32,debutant,RF,,,,,,,,,6,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,0,,
12.13.2019,first,swallowdale,33,marta,LH,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,2000,,
12.13.2019,first,swallowdale,33,marta,RF,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,56000,,
12.13.2019,first,swallowdale,34,mabel,RF,,,,,,,,,6,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,281000,,
12.13.2019,first,swallowdale,35,maisie,LH,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,24000,,
12.13.2019,first,swallowdale,35,maisie,LF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,20000,,
12.13.2019,first,swallowdale,35,maisie,RF,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,16000,,
1.22.2020,second,swallowdale,1,picknick,LH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,2000,,
1.22.2020,second,swallowdale,1,picknick,LF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,3000,,
1.22.2020,second,swallowdale,1,picknick,RH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,2000,,
1.22.2020,second,swallowdale,1,picknick,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,2000,,
1.22.2020,second,swallowdale,2,diane,RH,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,8000,,
1.22.2020,second,swallowdale,2,diane,RF,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,9000,,
1.22.2020,second,swallowdale,3,zap,LH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,34000,,
1.22.2020,second,swallowdale,3,zap,LF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,4200000,,
1.22.2020,second,swallowdale,3,zap,RH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,120000,,
1.22.2020,second,swallowdale,3,zap,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,37000,,
1.22.2020,second,swallowdale,4,sparky,LF,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,11000,,
1.22.2020,second,swallowdale,4,sparky,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,6000,,
1.22.2020,second,swallowdale,6,goldie,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,8000,,
1.22.2020,second,swallowdale,7,paige,LF,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,23000,,
1.22.2020,second,swallowdale,7,paige,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,21000,,
1.22.2020,second,swallowdale,9,casbah,LH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,9000,,
1.22.2020,second,swallowdale,9,casbah,LF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,4000,,
1.22.2020,second,swallowdale,9,casbah,RH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,3000,,
1.22.2020,second,swallowdale,9,casbah,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,7000,,
1.22.2020,second,swallowdale,10,flossy,LF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,12000,,
1.22.2020,second,swallowdale,10,flossy,RH,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,4000,,
1.22.2020,second,swallowdale,10,flossy,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,6000,,
1.22.2020,second,swallowdale,11,amber,LF,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,13000,,
1.22.2020,second,swallowdale,11,amber,RH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,8000,,
