date,visit,farm,order,cow_id,quarter,path_1,path1_imi,path_2,path2_imi,path_3,path3_imi,path_4,path4_imi,quarter_code,isolate_1,path_1_maldi_final_id,fix_1,isolate_2,path_2_maldi_final_id,fix_2,isolate_3,path_3_maldi_final_id,fix_3,isolate_4,path_4_maldi_final_id,fix_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,imi_series,hygiene_scorer_1,hygiene_1,hygiene_scorer_2,hygiene_2,cc_1,cc_2,cc_3,path_group,scc,contam,contam_comment
1.22.2020,second,swallowdale,17,rock7,LH,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,3000,,
1.22.2020,second,swallowdale,17,rock7,LF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,7000,,
1.22.2020,second,swallowdale,17,rock7,RH,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,3000,,
1.22.2020,second,swallowdale,17,rock7,RF,,,,,,,,,6,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,4000,,
1.22.2020,second,swallowdale,18,marta,LH,,,,,,,,,6,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,9000,,
1.22.2020,second,swallowdale,18,marta,LF,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,79000,,
1.22.2020,second,swallowdale,18,marta,RH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,20000,,
1.22.2020,second,swallowdale,18,marta,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,6000,,
1.22.2020,second,swallowdale,19,dorian,LF,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,84000,,
1.22.2020,second,swallowdale,19,dorian,RH,,,,,,,,,6,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,24000,,
1.22.2020,second,swallowdale,19,dorian,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,19000,,
1.22.2020,second,swallowdale,20,pasta,RH,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,6000,,
1.22.2020,second,swallowdale,21,denise,LH,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,68000,,
1.22.2020,second,swallowdale,22,skyler,LH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,7000,,
1.22.2020,second,swallowdale,22,skyler,LF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,2000,,
1.22.2020,second,swallowdale,22,skyler,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,0,,
1.22.2020,second,swallowdale,23,pamela,LH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,5000,,
1.22.2020,second,swallowdale,23,pamela,LF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,4000,,
1.22.2020,second,swallowdale,23,pamela,RH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,4000,,
1.22.2020,second,swallowdale,23,pamela,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,5000,,
1.22.2020,second,swallowdale,24,halo,LH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,4000,,
1.22.2020,second,swallowdale,24,halo,LF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,12000,,
1.22.2020,second,swallowdale,24,halo,RH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,0,,
1.22.2020,second,swallowdale,24,halo,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,6000,,
1.22.2020,second,swallowdale,25,debutant,LH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,2000,,
1.22.2020,second,swallowdale,25,debutant,LF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,0,,
1.22.2020,second,swallowdale,25,debutant,RH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,2000,,
1.22.2020,second,swallowdale,25,debutant,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,2000,,
1.22.2020,second,swallowdale,26,ferris,LH,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,j,3,NA,NA,NA,NA,NA,none,34000,,
1.22.2020,second,swallowdale,26,ferris,LF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,3,NA,NA,NA,NA,NA,none,36000,,
1.22.2020,second,swallowdale,26,ferris,RH,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,j,3,NA,NA,NA,NA,NA,none,26000,,
1.22.2020,second,swallowdale,26,ferris,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,3,NA,NA,NA,NA,NA,none,30000,,
1.22.2020,second,swallowdale,27,jazz,LF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,26000,,
1.22.2020,second,swallowdale,27,jazz,RH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,4000,,
1.22.2020,second,swallowdale,27,jazz,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,2000,,
1.22.2020,second,swallowdale,28,sondra,LH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,26000,,
