1_2_3_4,1_2,2_3,3_4,1_2_3,2_3_4,cow_id,quarter,first_date,first_visit,first_farm,first_order,first_path_1,first_path1_IMI,first_path_2,first_path2_IMI,first_path_3,first_path3_IMI,first_path_4,first_path4_IMI,first_quarter_code,first_isolate_1,first_isolate_2,first_isolate_3,first_isolate_4,first_clinical,first_blind,first_teatinj,first_pstmilking,first_mixed_inf_series,first_dup_not_collected,first_IMI_series,first_hygiene_1,first_hygiene_2,first_cc_1,first_cc_2,first_cc_3,first_scc,first_scc_eq_above_200k,first_scc_eq_above_100k,first_contam,first_contam_comment,first_uniqueID,second_date,second_visit,second_farm,second_order,second_path_1,second_path1_IMI,second_path_2,second_path2_IMI,second_path_3,second_path3_IMI,second_path_4,second_path4_IMI,second_quarter_code,second_isolate_1,second_isolate_2,second_isolate_3,second_isolate_4,second_clinical,second_blind,second_teatinj,second_pstmilking,second_mixed_inf_series,second_dup_not_collected,second_IMI_series,second_hygiene_1,second_hygiene_2,second_cc_1,second_cc_2,second_cc_3,second_scc,second_scc_eq_above_200k,second_scc_eq_above_100k,second_contam,second_contam_comment,second_uniqueID,third_date,third_visit,third_farm,third_order,third_path_1,third_path1_IMI,third_path_2,third_path2_IMI,third_path_3,third_path3_IMI,third_path_4,third_path4_IMI,third_quarter_code,third_isolate_1,third_isolate_2,third_isolate_3,third_isolate_4,third_clinical,third_blind,third_teatinj,third_pstmilking,third_mixed_inf_series,third_dup_not_collected,third_IMI_series,third_hygiene_1,third_hygiene_2,third_cc_1,third_cc_2,third_cc_3,third_scc,third_scc_eq_above_200k,third_scc_eq_above_100k,third_contam,third_contam_comment,third_uniqueID,fourth_date,fourth_visit,fourth_farm,fourth_order,fourth_path_1,fourth_path1_IMI,fourth_path_2,fourth_path2_IMI,fourth_path_3,fourth_path3_IMI,fourth_path_4,fourth_path4_IMI,fourth_quarter_code,fourth_isolate_1,fourth_isolate_2,fourth_isolate_3,fourth_isolate_4,fourth_clinical,fourth_blind,fourth_teatinj,fourth_pstmilking,fourth_mixed_inf_series,fourth_dup_not_collected,fourth_IMI_series,fourth_hygiene_1,fourth_hygiene_2,fourth_cc_1,fourth_cc_2,fourth_cc_3,fourth_scc,fourth_scc_eq_above_200k,fourth_scc_eq_above_100k,fourth_contam,fourth_contam_comment,fourth_uniqueID
,,,,y,,193_Glennview,RF,1.14.2020,first,Glennview,10,corynebac,yes1,,,,,,,1,GV022,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3000,n,n,,,193_Glennview_RF,2.19.2020,second,Glennview,7,corynebac,yes1,,,,,,,1,GV058,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,n,n,,,193_Glennview_RF,3.19.2020,third,Glennview,4,corynebac,yes1,,,,,,,1,GV105,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,n,n,,,193_Glennview_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,193_Glennview_RF_fourth
y,,,,,,4_Choiniere,RF,12.11.2019,first,Choiniere,21,corynebac,yes2,,,,,,,2,CF044,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4000,n,n,,,4_Choiniere_RF,1.21.2020,second,Choiniere,15,corynebac,yes2,,,,,,,2,CF100,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,n,n,,,4_Choiniere_RF,2.17.2020,third,Choiniere,16,corynebac,yes1,,,,,,,1,CF156,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3000,n,n,,,4_Choiniere_RF,3.16.2020,fourth,Choiniere,34,corynebac,yes2,,,,,,,2,CF243,,,,,,,,no,,yes,NA,NA,NA,NA,NA,5000,n,n,,,4_Choiniere_RF_fourth
,,y,,,,188_Glennview,LH,1.14.2020,first,Glennview,21,,,,,,,,,8,,,,,,,,,,,,NA,NA,NA,NA,NA,15000,n,n,yes,,188_Glennview_LH,2.19.2020,second,Glennview,19,corynebac,yes2,corynebac,other18,,,,,2,GV074,GV075,,,,,,,no,,yes,NA,NA,NA,NA,NA,10000,n,n,,,188_Glennview_LH,3.19.2020,third,Glennview,30,corynebac,yes1,,,,,,,1,GV153,,,,,,,,no,,yes,NA,NA,NA,NA,NA,9000,n,n,,,188_Glennview_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,188_Glennview_LH_fourth
,,y,,,,74_Choiniere,RH,12.11.2019,first,Choiniere,24,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,21000,n,n,,,74_Choiniere_RH,1.21.2020,second,Choiniere,30,corynebac,yes2,,,,,,,2,CF126,,,,,,,,no,,yes,NA,NA,NA,NA,NA,77000,n,n,,,74_Choiniere_RH,2.17.2020,third,Choiniere,15,corynebac,yes2,,,,,,,2,CF155,,,,,,,,,,yes,NA,NA,NA,NA,NA,43000,n,n,,,74_Choiniere_RH,3.16.2020,fourth,Choiniere,17,corynebac,other12,,,,,,,12,CF217,,,,,,,,no,,no,NA,NA,NA,NA,NA,37000,n,n,,,74_Choiniere_RH_fourth
,,y,,,,jazz_Swallowdale,LH,12.13.2019,first,Swallowdale,16,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,6000,n,n,,,jazz_Swallowdale_LH,1.22.2020,second,Swallowdale,27,corynebac,yes2,,,,,,,2,SW079,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1200000,y,y,,,jazz_Swallowdale_LH,2.28.2020,third,Swallowdale,16,corynebac,yes2,,,,,,,2,SW107,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2200000,y,y,,,jazz_Swallowdale_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,jazz_Swallowdale_LH_fourth
