"","Var1","Freq"
"1","BJ",5
"2","Butterworks",2
"3","Choiniere",5
"4","Glennview",8
"5","Lynd",3
"6","OughtaBe",3
"7","Paddlebridge",2
"8","Swallowdale",2
"9","vonTrapp",4
