uniqueID,status
720_BJ_RF_second,nyyt
patchouli_vonTrapp_RF_first,nyyt
693_BJ_LH_second,nyyt
patchouli_vonTrapp_RF_third,nyyt
693_BJ_LH_third,nyyt
9_Choiniere_RH_second,nyyt
jazz_Swallowdale_LH_second,nyyt
annabeth2_Paddlebridge_LF_third,nyyt
jazz_Swallowdale_LH_third,nyyt
93_Choiniere_LF_third,nyyt
720_BJ_RF_first,nyyt
kodiak_Lynd_LH_third,nyyt
3_Choiniere_RH_third,nyyt
3_Choiniere_RH_fourth,nyyt
jersey_OughtaBe_RH_third,nyyt
3_Choiniere_RH_first,nyyt
denise_Swallowdale_RH_second,nyyt
annabeth2_Paddlebridge_LF_second,nyyt
racer_OughtaBe_LH_third,yyy
ladyfinger_Lynd_RH_third,yyy
applecore_Butterworks_LH_first,yyy
gift379_Paddlebridge_LF_first,yyy
amarillo_Lynd_LH_second,yyy
kandykorn_OughtaBe_LF_third,yyy
731_BJ_LF_first,yyy
lilac_Butterworks_RH_first,yyy
kyra35_Paddlebridge_RH_third,yyy
gift379_Paddlebridge_LF_third,yyy
nellie_Butterworks_RH_second,yyy
saige313_Paddlebridge_LF_third,yyy
sapphire338_Paddlebridge_RH_third,yyy
licorice_Lynd_RH_second,yyy
flavia_vonTrapp_RH_second,yyy
margo_StonyPond_LH_second,yyy
kyra35_Paddlebridge_RH_first,yyy
ladyfinger_Lynd_RH_second,yyy
rashida_StonyPond_LH_first,yyy
paige_Swallowdale_RH_first,yyy
wildcucumber_Butterworks_LH_first,yyy
marshmellow_Swallowdale_RF_first,yyy
snowball_Butterworks_RH_first,yyy
ambrosia_Lynd_LH_second,yyy
720_BJ_RH_third,yyy
4_Choiniere_RF_first,yyy
cassia_Swallowdale_LH_first,yyy
flavia_vonTrapp_LF_first,yyy
petunia_Butterworks_LH_second,yyy
panda_vonTrapp_RH_second,yyy
42_Glennview_LF_third,yyy
720_BJ_RH_first,yyy
wynona_StonyPond_LH_first,yyy
bon_Butterworks_RF_first,yyy
ardetta_vonTrapp_RF_first,yyy
720_BJ_LF_first,yyy
farrent31_Paddlebridge_RH_first,yyy
riley_StonyPond_RF_first,yyy
pledge_Swallowdale_RH_second,yyy
esme_vonTrapp_LH_second,yyy
quantum_Swallowdale_LF_first,yyy
echo_StonyPond_LH_first,yyy
gift379_Paddlebridge_RF_first,yyy
cambric_Swallowdale_LH_second,yyy
jersey_OughtaBe_LF_first,yyy
cb5_BJ_LH_third,yyy
17_Choiniere_LF_first,yyy
ashley_StonyPond_LH_first,yyy
saige313_Paddlebridge_RH_third,yyy
gift379_Paddlebridge_RF_third,yyy
annabelle27_Paddlebridge_RF_first,yyy
honey_OughtaBe_RF_first,yyy
amarillo_Lynd_RF_second,yyy
cassia_Swallowdale_RH_second,yyy
rashida_StonyPond_LH_second,yyy
peaches_StonyPond_LH_second,yyy
169_Glennview_RF_third,yyy
peace_Butterworks_LF_first,yyy
zsazsa_Lynd_RH_third,yyy
gloria_vonTrapp_LF_second,yyy
racer_OughtaBe_LH_second,yyy
fitzi31_Paddlebridge_RF_first,yyy
flavia_vonTrapp_RH_first,yyy
marjoram_Butterworks_RH_second,yyy
esme_vonTrapp_LF_second,yyy
fitzi31_Paddlebridge_RF_third,yyy
tallula_vonTrapp_RF_second,yyy
193_Glennview_RF_second,yyy
farrah363_Paddlebridge_LF_first,yyy
pasta_Swallowdale_LF_first,yyy
kit_OughtaBe_LH_first,yyy
wynona_StonyPond_LF_second,yyy
paige_Swallowdale_RH_second,yyy
likely30_Paddlebridge_RF_third,yyy
ferrari28_Paddlebridge_RH_first,yyy
flavia_vonTrapp_LF_second,yyy
kowabunga_Lynd_LF_second,yyy
fitzi31_Paddlebridge_RF_second,yyyt
shiela375_Paddlebridge_RH_second,yyyt
kowabunga_Lynd_RF_second,yyyt
716_BJ_LH_third,yyyt
17_Choiniere_RH_third,yyyt
manzana_Butterworks_RH_first,yyyt
kowabunga_Lynd_RF_third,yyyt
zelda_vonTrapp_LF_third,yyyt
17_Choiniere_RH_first,yyyt
kowabunga_Lynd_RF_first,yyyt
56_Choiniere_LF_third,yyyt
manzana_Butterworks_RH_second,yyyt
shiela375_Paddlebridge_RH_first,yyyt
zelda_vonTrapp_LF_first,yyyt
shiela375_Paddlebridge_RH_third,yyyt
snowball_Butterworks_RF_third,yyyt
life_Lynd_LF_second,yyyt
17_Choiniere_RH_second,yyyt
716_BJ_LH_second,yyyt
snowball_Butterworks_RF_second,yyyt
716_BJ_LH_first,yyyt
56_Choiniere_LF_first,yyyt
manzana_Butterworks_RH_third,yyyt
life_Lynd_LF_first,yyyt
zelda_vonTrapp_LF_second,yyyt
snowball_Butterworks_RF_first,yyyt
life_Lynd_LF_third,yyyt
56_Choiniere_LF_second,yyyt
