"","cow_id","quarter","first_IMI_species","first_SCC","second_IMI_species","second_SCC","third_IMI_species","third_SCC"
"105","Pasta","LF","Staph. species",78000,"Staph. species",83000,"Staph. species",500000
"106","Pasta","LH","",21000,"",2000,"",20000
"107","Pasta","RF","",16000,"",18000,"",3000
"108","Pasta","RH","",16000,"",6000,"",13000
"109","Picknick","LF","",3000,"",3000,"",4000
"110","Picknick","LH","",4000,"",2000,"",4000
"111","Picknick","RF","",2000,"",2000,"",6000
"112","Picknick","RH","",3000,"",2000,"",3000
"113","Pledge","LF","Staph. species",87000,"Staph. species",230000,"Staph. species",410000
"114","Pledge","LH","Strep. species",4000,"",2000,"",2000
"115","Pledge","RF","Staph. species",172000,"Staph. species",140000,"Staph. species",440000
"116","Pledge","RH","Staph. species",59000,"Staph. species",84000,"Staph. species",180000
"117","Quantum","LF","Staph. species",15000,"Staph. species",52000,"Staph. species",480000
"118","Quantum","LH","",6000,"",5000,"",96000
"119","Quantum","RF","",9000,"",7000,"",150000
"120","Quantum","RH","",10000,"",6000,"",140000
"121","Rock7","LF","",8000,"",7000,"",6000
"122","Rock7","LH","",6000,"",3000,"",3000
"123","Rock7","RF","",7000,"",4000,"",5000
"124","Rock7","RH","",9000,"",3000,"",3000
"125","Sadie","LF","Strep. species",12000,NA,NA,NA,NA
"126","Sadie","LH","",5000,NA,NA,NA,NA
"127","Sadie","RF","",3000,NA,NA,NA,NA
"128","Sadie","RH","",4000,NA,NA,NA,NA
"129","Shelly","LF","",40000,"",8000,"",15000
"130","Shelly","LH","",57000,"",12000,"",19000
"131","Shelly","RF","",134000,"",23000,"",30000
"132","Shelly","RH","",58000,"",9000,"",10000
"133","Skyler","LF","",2000,"",2000,"",2000
"134","Skyler","LH","",3000,"",7000,"Staph. species",3000
"135","Skyler","RF","Staph. species",0,"",0,"",0
"136","Skyler","RH","",4000,"",0,"",14000
"137","Sondra","LF","Sample contaminated",177000,"Strep. species, Staph. species",89000,"Strep. species, Staph. species",87000
"138","Sondra","LH","Sample contaminated",82000,"",26000,"",17000
"139","Sondra","RF","",47000,"",170000,"Strep. species, Staph. species",94000
"140","Sondra","RH","Sample contaminated",26000,"",8000,"Strep. species, Corynebacterium species",7000
"141","Sonic","LF","",14000,"",5000,"",5000
"142","Sonic","LH","",6000,"",3000,"",4000
"143","Sonic","RF","",9000,"",6000,"",6000
"144","Sonic","RH","",9000,"",4000,"",5000
"145","Sparky","LF","",8000,"",11000,"",12000
"146","Sparky","LH","",8000,"",11000,"",12000
"147","Sparky","RF","",6000,"",6000,"",7000
"148","Sparky","RH","",8000,"",8000,"",10000
"149","Zap","LF","",22000,"",4200000,NA,NA
"150","Zap","LH","",10000,"",34000,NA,NA
"151","Zap","RF","",11000,"",37000,NA,NA
"152","Zap","RH","",12000,"",120000,NA,NA
"153","Zeal","LF","",238000,NA,NA,NA,NA
"154","Zeal","LH","",2594000,NA,NA,NA,NA
"155","Zeal","RF","Staph. aureus",919000,NA,NA,NA,NA
"156","Zeal","RH","",1230000,NA,NA,NA,NA
