sort_4.24,farm,cow,quarter,cowid_quarter,cow_id_quarter_visit,visit,disclude_noDIM,disclude_noSCC,disclude_mixed_infection,lactation,DIM,hygiene_score,IMI_NAS_or_MAM,IMI_NAS_only,IMI_S_chromogenes,IMI_S_haemolyticus,IMI_S_simulans,IMI_S_equorum,IMI_S_agnetis,IMI_S_devriesei,IMI_S_warneri,IMI_S_xylosus,IMI_M_sciuri,IMI_S_auricularis,IMI_S_capitis,IMI_S_cohnii,IMI_S_epidermidis,IMI_M_fleurettii,IMI_S_gallinarum,IMI_S_hominis,IMI_S_pseudintermedius,IMI_S_saprophyticus,IMI_S_succinus,IMI_S_hyicus,IMI_M_vitilinus,IMI_staphylococcus_aureus,positive_for_IMI,date,farm_1,order,path_1,path1_imi,path_2,path2_imi,path_3,path3_imi,path_4,path4_imi,quarter_code,isolate_1,path_1_maldi_final_id,fix_1,isolate_2,path_2_maldi_final_id,fix_2,isolate_3,path_3_maldi_final_id,fix_3,isolate_4,path_4_maldi_final_id,fix_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,imi_series,hygiene_scorer_1,hygiene_1,hygiene_scorer_2,hygiene_2,scc,contam,contam_comment,dup_a_cfu_count,dup_b_cfu_count,more_than_2_org_present,additional_disclude_genIMI,actually_disclude,disclude_cant_determine_status,disclude_blind,disclude_dupmissing,disclude_samplingerror,disclude_contam,IMI_2014env,IMI_2014opp,IMI_2014host,IMI_2017rel,IMI_2017host,IMI_2017env,quarter_position_dup,lactation_dup,lact_grp,farm_hygiene_avg,facility_type,bedding_facility_combo,bedding_material,pred_breed,herd_size,herd_size_cat,rolling_herd_avg,sel_feed,air_quality_prod,age_fac,lying_surface,bp_fed_on_pack,bp_num_cows_on_pack,bp_pack_area,bp_cow_density,bp_stock_dens_perc,wood_dried,wood_storage,bedding_conditioner,freq_add_new_bedding_stall_wk,freq_stall_scraping_wk,depth_bedding_stalls,bp_freq_tilling_wk,bp_depth_tilled_in,bp_attentiveness,bp_bedding_depth,milking_sys,forestrip,towel_num,gloves,mast_det_recc,mast_record,culture_mast,culture_scc,culture_fresh,culture_dry,culture_loc,dry_prod,sel_supp,ind_hygiene_a,ind_hygiene_b,ind_hygiene_avg,IMI_acinetobacter_species,IMI_aerococcus_species,IMI_aerococcus_viridans,IMI_brachybacterium_species,IMI_brevibacterium_epidermidis,IMI_candida_rugosa,IMI_corynebacterium_amycolatum,IMI_corynebacterium_callunae,IMI_corynebacterium_casei,IMI_corynebacterium_confusum,IMI_corynebacterium_glutamicum,IMI_corynebacterium_species,IMI_corynebacterium_stationis,IMI_corynebacterium_ulcerans,IMI_corynebacterium_variabile,IMI_corynebacterium_xerosis,IMI_e_coli,IMI_enterobacter_species,IMI_enterococcus_saccharolyticus,IMI_glutamicibacter_arilaitensis,IMI_gram_neg_noncoliform_organism_rods,IMI_gram_positive_cocci,IMI_gram_positive_org,IMI_gram_positive_rod,IMI_klebsiella_aerogenes,IMI_klebsiella_pneumoniae,IMI_klebsiella_variicola,IMI_kocuria_carniphila,IMI_kocuria_palustris,IMI_kocuria_species,IMI_leuconostoc_mesenteroides,IMI_macrococcus_canis,IMI_microbacterium_species,IMI_micrococcus_species,IMI_moraxella_osloensis,IMI_moraxella_species,IMI_pseudomonas_aeruginosa,IMI_pseudomonas_fluorescens,IMI_pseudomonas_species,IMI_psychrobacter_pasteurii,IMI_psychrobacter_species,IMI_serratia_marcescens,IMI_staphylococcus_agnetis,IMI_staphylococcus_chromogenes,IMI_staphylococcus_epidermidis,IMI_staphylococcus_equorum,IMI_staphylococcus_haemolyticus,IMI_staphylococcus_hominis,IMI_staphylococcus_sciuri,IMI_staphylococcus_simulans,IMI_streptococcus_canis,IMI_streptococcus_dysgalactiae,IMI_streptococcus_species,IMI_streptococcus_uberis,IMI_wautersiella_falsenii,IMI_weissella_cibaria,IMI_weissella_hellenica,IMI_no_id,quarter_code_dup,sum_IMI_species,gen_IMI_due_to,any_IMI
880,Glennview,54_Glennview,LF,54_Glennview_LF,54_Glennview_LF_first,first,0,0,0,5,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14.2020,Glennview,7,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,2,c,2,12000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,LF,5,fourth_plus,2.2,TS,TS_SH,SH,Jersey,70,61_80,15200,n,good,61,mat_conc,NA,NA,NA,NA,NA,kiln_dried,under_cover,y,21,56,2.54,NA,NA,NA,NA,tiestall,y,one,all,n,always,sometimes,sometimes,issue,sometimes_issue,vet,y,occ,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,0
881,Glennview,200_Glennview,LH,200_Glennview_LH,200_Glennview_LH_first,first,0,0,0,1,149,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14.2020,Glennview,30,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,1,c,2,17000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,LH,1,first,2.2,TS,TS_SH,SH,Jersey,70,61_80,15200,n,good,61,mat_conc,NA,NA,NA,NA,NA,kiln_dried,under_cover,y,21,56,2.54,NA,NA,NA,NA,tiestall,y,one,all,n,always,sometimes,sometimes,issue,sometimes_issue,vet,y,occ,1,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,0
882,OughtaBe,kit_OughtaBe,LF,kit_OughtaBe_LF,kit_OughtaBe_LF_first,first,0,0,0,3,223,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3.2020,OughtaBe,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,2,c,2,29000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,LF,3,third,2.3,TS,TS_SH,SH,Jersey,70,61_80,13500,n,poor_fair,64,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,28,28,2.54,NA,NA,NA,NA,tiestall,y,one,all,n,never,sometimes,sometimes,never,never,ref,n,reg,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,0
883,OughtaBe,kit_OughtaBe,RF,kit_OughtaBe_RF,kit_OughtaBe_RF_first,first,0,0,0,3,223,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3.2020,OughtaBe,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,2,c,2,14000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,RF,3,third,2.3,TS,TS_SH,SH,Jersey,70,61_80,13500,n,poor_fair,64,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,28,28,2.54,NA,NA,NA,NA,tiestall,y,one,all,n,never,sometimes,sometimes,never,never,ref,n,reg,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,0
884,OughtaBe,kit_OughtaBe,RH,kit_OughtaBe_RH,kit_OughtaBe_RH_first,first,0,0,0,3,223,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3.2020,OughtaBe,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,2,c,2,12000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,RH,3,third,2.3,TS,TS_SH,SH,Jersey,70,61_80,13500,n,poor_fair,64,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,28,28,2.54,NA,NA,NA,NA,tiestall,y,one,all,n,never,sometimes,sometimes,never,never,ref,n,reg,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,0
885,OughtaBe,aloha_OughtaBe,RH,aloha_OughtaBe_RH,aloha_OughtaBe_RH_first,first,0,0,0,1,292,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3.2020,OughtaBe,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,2,c,2,4000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,RH,1,first,2.3,TS,TS_SH,SH,Jersey,70,61_80,13500,n,poor_fair,64,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,28,28,2.54,NA,NA,NA,NA,tiestall,y,one,all,n,never,sometimes,sometimes,never,never,ref,n,reg,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,0
886,OughtaBe,aloha_OughtaBe,RF,aloha_OughtaBe_RF,aloha_OughtaBe_RF_first,first,0,0,0,1,292,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3.2020,OughtaBe,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,2,c,2,2000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,RF,1,first,2.3,TS,TS_SH,SH,Jersey,70,61_80,13500,n,poor_fair,64,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,28,28,2.54,NA,NA,NA,NA,tiestall,y,one,all,n,never,sometimes,sometimes,never,never,ref,n,reg,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,0
887,OughtaBe,peacock_OughtaBe,RF,peacock_OughtaBe_RF,peacock_OughtaBe_RF_first,first,0,0,0,1,297,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3.2020,OughtaBe,33,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,2,c,2,6000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,RF,1,first,2.3,TS,TS_SH,SH,Jersey,70,61_80,13500,n,poor_fair,64,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,28,28,2.54,NA,NA,NA,NA,tiestall,y,one,all,n,never,sometimes,sometimes,never,never,ref,n,reg,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,0
888,OughtaBe,peacock_OughtaBe,RH,peacock_OughtaBe_RH,peacock_OughtaBe_RH_first,first,0,0,0,1,297,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3.2020,OughtaBe,33,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,2,c,2,20000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,RH,1,first,2.3,TS,TS_SH,SH,Jersey,70,61_80,13500,n,poor_fair,64,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,28,28,2.54,NA,NA,NA,NA,tiestall,y,one,all,n,never,sometimes,sometimes,never,never,ref,n,reg,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,0
889,Paddlebridge,gif9_Paddlebridge,LF,gif9_Paddlebridge_LF,gif9_Paddlebridge_LF_first,first,0,0,0,2,125,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17.2020,Paddlebridge,16,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,2,c,2,64000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,LF,2,second,1.7,TS,TS_SH,SH,Holstein,56,44_60,21204,n,good,50,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,14,6.35,NA,NA,NA,NA,tiestall,y,one,no_some,y,never,always,sometimes,never,never,vet,n,no,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,0
890,Paddlebridge,gif9_Paddlebridge,LH,gif9_Paddlebridge_LH,gif9_Paddlebridge_LH_first,first,0,0,0,2,125,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17.2020,Paddlebridge,16,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,2,c,2,40000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,LH,2,second,1.7,TS,TS_SH,SH,Holstein,56,44_60,21204,n,good,50,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,14,6.35,NA,NA,NA,NA,tiestall,y,one,no_some,y,never,always,sometimes,never,never,vet,n,no,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,0
891,Paddlebridge,lalune33_Paddlebridge,LF,lalune33_Paddlebridge_LF,lalune33_Paddlebridge_LF_first,first,0,0,0,1,165,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17.2020,Paddlebridge,22,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,1,c,2,9000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,LF,1,first,1.7,TS,TS_SH,SH,Holstein,56,44_60,21204,n,good,50,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,14,6.35,NA,NA,NA,NA,tiestall,y,one,no_some,y,never,always,sometimes,never,never,vet,n,no,1,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,0
892,Paddlebridge,lalune33_Paddlebridge,RF,lalune33_Paddlebridge_RF,lalune33_Paddlebridge_RF_first,first,0,0,0,1,165,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17.2020,Paddlebridge,22,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,1,c,2,10000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,RF,1,first,1.7,TS,TS_SH,SH,Holstein,56,44_60,21204,n,good,50,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,14,6.35,NA,NA,NA,NA,tiestall,y,one,no_some,y,never,always,sometimes,never,never,vet,n,no,1,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,0
893,Paddlebridge,lalune33_Paddlebridge,LH,lalune33_Paddlebridge_LH,lalune33_Paddlebridge_LH_first,first,0,0,0,1,165,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17.2020,Paddlebridge,22,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,1,c,2,9000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,LH,1,first,1.7,TS,TS_SH,SH,Holstein,56,44_60,21204,n,good,50,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,14,6.35,NA,NA,NA,NA,tiestall,y,one,no_some,y,never,always,sometimes,never,never,vet,n,no,1,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,0
894,Paddlebridge,farrent31_Paddlebridge,RF,farrent31_Paddlebridge_RF,farrent31_Paddlebridge_RF_first,first,0,0,0,1,160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17.2020,Paddlebridge,19,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,1,c,1,11000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,RF,1,first,1.7,TS,TS_SH,SH,Holstein,56,44_60,21204,n,good,50,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,14,6.35,NA,NA,NA,NA,tiestall,y,one,no_some,y,never,always,sometimes,never,never,vet,n,no,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,0
895,StonyPond,lucinda_StonyPond,LF,lucinda_StonyPond_LF,lucinda_StonyPond_LF_first,first,0,0,0,2,244,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.12.2019,StonyPond,9,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,3,NA,NA,8000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,LF,2,second,2,BP,BP_SH,SH,Jersey,70,61_80,12500,n,excellent,3,deep,n,35,219.622692,6.274934057,1.258977374,kiln_dried,under_cover,n,NA,NA,NA,14,20.32,1,0.9,parlor,y,dep_two,all,n,sometimes_temp,always,always,never,never,ref,n,occ,3,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,0
896,StonyPond,lucinda_StonyPond,LH,lucinda_StonyPond_LH,lucinda_StonyPond_LH_first,first,0,0,0,2,244,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.12.2019,StonyPond,9,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,3,NA,NA,91000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,LH,2,second,2,BP,BP_SH,SH,Jersey,70,61_80,12500,n,excellent,3,deep,n,35,219.622692,6.274934057,1.258977374,kiln_dried,under_cover,n,NA,NA,NA,14,20.32,1,0.9,parlor,y,dep_two,all,n,sometimes_temp,always,always,never,never,ref,n,occ,3,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,0
897,StonyPond,lucinda_StonyPond,RF,lucinda_StonyPond_RF,lucinda_StonyPond_RF_first,first,0,0,0,2,244,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.12.2019,StonyPond,9,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,3,NA,NA,21000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,RF,2,second,2,BP,BP_SH,SH,Jersey,70,61_80,12500,n,excellent,3,deep,n,35,219.622692,6.274934057,1.258977374,kiln_dried,under_cover,n,NA,NA,NA,14,20.32,1,0.9,parlor,y,dep_two,all,n,sometimes_temp,always,always,never,never,ref,n,occ,3,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,0
898,StonyPond,lucinda_StonyPond,RH,lucinda_StonyPond_RH,lucinda_StonyPond_RH_first,first,0,0,0,2,244,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.12.2019,StonyPond,9,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,3,NA,NA,95000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,RH,2,second,2,BP,BP_SH,SH,Jersey,70,61_80,12500,n,excellent,3,deep,n,35,219.622692,6.274934057,1.258977374,kiln_dried,under_cover,n,NA,NA,NA,14,20.32,1,0.9,parlor,y,dep_two,all,n,sometimes_temp,always,always,never,never,ref,n,occ,3,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,0
899,StonyPond,robin_StonyPond,RH,robin_StonyPond_RH,robin_StonyPond_RH_first,first,0,0,0,8,258,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.12.2019,StonyPond,11,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,3,NA,NA,21000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,RH,8,fourth_plus,2,BP,BP_SH,SH,Jersey,70,61_80,12500,n,excellent,3,deep,n,35,219.622692,6.274934057,1.258977374,kiln_dried,under_cover,n,NA,NA,NA,14,20.32,1,0.9,parlor,y,dep_two,all,n,sometimes_temp,always,always,never,never,ref,n,occ,3,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,0
900,StonyPond,robin_StonyPond,LH,robin_StonyPond_LH,robin_StonyPond_LH_first,first,0,0,0,8,258,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.12.2019,StonyPond,11,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,3,NA,NA,22000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,LH,8,fourth_plus,2,BP,BP_SH,SH,Jersey,70,61_80,12500,n,excellent,3,deep,n,35,219.622692,6.274934057,1.258977374,kiln_dried,under_cover,n,NA,NA,NA,14,20.32,1,0.9,parlor,y,dep_two,all,n,sometimes_temp,always,always,never,never,ref,n,occ,3,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,0
901,StonyPond,alaska_StonyPond,LF,alaska_StonyPond_LF,alaska_StonyPond_LF_first,first,0,0,0,4,265,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.12.2019,StonyPond,15,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,3,NA,NA,5000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,LF,4,fourth_plus,2,BP,BP_SH,SH,Jersey,70,61_80,12500,n,excellent,3,deep,n,35,219.622692,6.274934057,1.258977374,kiln_dried,under_cover,n,NA,NA,NA,14,20.32,1,0.9,parlor,y,dep_two,all,n,sometimes_temp,always,always,never,never,ref,n,occ,3,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,0
