date,visit,farm,order,cow_id,quarter,path_1,path1_IMI,path_2,path2_IMI,path_3,path3_IMI,path_4,path4_IMI,quarter_code,isolate_1,isolate_2,isolate_3,isolate_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,IMI_series,hygiene_1,hygiene_2,cc_1,cc_2,cc_3,scc,contam,contam_comment
1.2.2020,first,Butterworks,14,Hawthorn,LH,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,14,Hawthorn,LF,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,14,Hawthorn,RH,CNS,yes2,,,,,,,2,BW015,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,14,Hawthorn,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,15,Nona,LH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,15,Nona,LF,Corynebac,other12,,,,,,,12,BW016,,,,,,,,,,no,,,,,,,yes,
1.2.2020,first,Butterworks,15,Nona,RH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,15,Nona,RF,,,,,,,,,8,,,,,,,,,,,,,,,,,,yes,
1.2.2020,first,Butterworks,16,Mustard,LH,Strep,yes27,Corynebac,yes27,,,,,27,BW017,BW018,,,,,,,yes,,yes,,,,,,,,
1.2.2020,first,Butterworks,16,Mustard,LF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,16,Mustard,RH,Strep,other12,,,,,,,12,BW019,,,,,,,,,,no,,,,,,,yes,strep?
1.2.2020,first,Butterworks,16,Mustard,RF,Strep,other12,,,,,,,12,BW020,,,,,,,,,,no,,,,,,,yes,strep?
1.2.2020,first,Butterworks,17,Nazareth,LH,Strep,yes2,,,,,,,2,BW021,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,17,Nazareth,LF,CNS,yes2,,,,,,,2,BW022,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,17,Nazareth,RH,Corynebac,yes2,,,,,,,2,BW023,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,17,Nazareth,RF,CNS,yes2,,,,,,,2,BW024,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,18,Marjoram,LH,Strep,other12,,,,,,,12,BW025,,,,,,,,,,no,,,,,,,yes,CNS dominates
1.2.2020,first,Butterworks,18,Marjoram,LF,CNS,other12,Corynebac,other12,,,,,12,BW026,BW069,,,,,,,,,no,,,,,,,yes,CNS dominates
1.2.2020,first,Butterworks,18,Marjoram,RH,CNS,yes2,,,,,,,2,BW027,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,18,Marjoram,RF,CNS,other12,,,,,,,12,BW028,,,,,,,,,,no,,,,,,,,
1.2.2020,first,Butterworks,19,Manzana,LH,CNS,yes2,,,,,,,2,BW029,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,19,Manzana,LF,SA,yes2,,,,,,,2,BW030,,,,,,,,no,,yes,,,,,,,,
