"ID","BNAME","LACT","MILK","PMILK","SCC","PSCC","DIM","FDAT","DUE",
    1 ,CB1     ,   3 ,    53 ,     0 ,   141 ,     0 ,   33 ,02/27/20,       - ,
    2 ,CB2     ,   3 ,    62 ,     0 ,    27 ,     0 ,    6 ,03/25/20,       - ,
    5 ,CB5     ,   1 ,    51 ,    82 ,    67 ,    50 ,  273 ,07/02/19,       - ,
    7 ,727     ,   2 ,    38 ,    47 ,    39 ,    30 ,  283 ,06/22/19,11/15/20,
  544 ,544     ,  12 ,     0 ,    20 ,     0 ,   158 ,  452 ,12/21/18,07/07/20,
  585 ,585     ,   4 ,    28 ,    47 ,   180 ,   354 ,  394 ,03/03/19,07/29/20,
  616 ,616     ,   3 ,    38 ,    35 ,   133 ,    35 ,  456 ,12/31/18,06/17/20,
  634 ,634     ,   4 ,     0 ,    22 ,     0 ,    60 ,  964 ,05/09/17,05/08/20,
  636 ,636     ,   5 ,    72 ,     0 ,    98 ,     0 ,   23 ,03/08/20,       - ,
  642 ,642     ,   7 ,    56 ,     0 ,   269 ,     0 ,   13 ,03/18/20,       - ,
  656 ,656     ,   5 ,    51 ,    55 ,   290 ,   460 ,  178 ,10/05/19,10/17/20,
  664 ,664     ,   5 ,    55 ,    70 ,    41 ,   685 ,  142 ,11/10/19,       - ,
  667 ,667     ,   4 ,     0 ,    35 ,     0 ,   374 ,  422 ,12/20/18,05/17/20,
  675 ,675     ,   5 ,    43 ,    41 ,    43 ,    49 ,  367 ,03/30/19,       - ,
  685 ,685     ,   5 ,    23 ,    41 ,   235 ,    62 ,  257 ,07/18/19,06/09/20,
  691 ,691     ,   5 ,    58 ,    64 ,    31 ,    27 ,  101 ,12/21/19,       - ,
  693 ,693     ,   4 ,    50 ,    61 ,    88 ,    71 ,  163 ,10/20/19,       - ,
  697 ,697     ,   3 ,     0 ,     6 ,     0 ,   244 ,  328 ,04/22/19,05/08/20,
  700 ,700     ,   3 ,    75 ,    80 ,    22 ,    33 ,   47 ,02/13/20,       - ,
  708 ,708     ,   3 ,    43 ,    51 ,    81 ,    34 ,  277 ,06/28/19,10/22/20,
  711 ,711     ,   4 ,    65 ,     0 ,    28 ,     0 ,   12 ,03/19/20,       - ,
  713 ,713     ,   3 ,     0 ,    22 ,     0 ,   142 ,  317 ,05/13/19,09/16/20,
  719 ,719     ,   3 ,     0 ,    35 ,     0 ,   204 ,  377 ,03/14/19,06/14/20,
  720 ,720     ,   3 ,    46 ,    55 ,   437 ,   313 ,  277 ,06/28/19,07/07/20,
  721 ,721     ,   2 ,    78 ,    78 ,    20 ,   103 ,   43 ,02/17/20,       - ,
  722 ,722     ,   3 ,    48 ,    55 ,    20 ,    21 ,  208 ,09/05/19,       - ,
  723 ,723     ,   2 ,     0 ,    35 ,     0 ,   146 ,  435 ,01/15/19,06/29/20,
  730 ,730     ,   3 ,    78 ,     0 ,    35 ,     0 ,   19 ,03/12/20,       - ,
  731 ,731     ,   2 ,    50 ,    51 ,   378 ,   265 ,  357 ,04/09/19,08/08/20,
  733 ,733     ,   2 ,    41 ,    47 ,   136 ,   171 ,  218 ,08/26/19,       - ,
  734 ,734     ,   2 ,    68 ,    74 ,  1398 ,  1052 ,   45 ,02/15/20,       - ,
  735 ,735     ,   3 ,    53 ,     0 ,    37 ,     0 ,   34 ,02/26/20,       - ,
  736 ,736     ,   1 ,    26 ,    33 ,    81 ,    57 ,  726 ,04/05/18,08/07/20,
  738 ,738     ,   2 ,    41 ,    47 ,    30 ,    25 ,  352 ,04/14/19,11/27/20,
  739 ,739     ,   2 ,    43 ,    55 ,    36 ,    50 ,  288 ,06/17/19,09/07/20,
  742 ,741     ,   2 ,     0 ,    47 ,     0 ,    40 ,  339 ,04/19/19,05/22/20,
  743 ,749     ,   1 ,    48 ,    47 ,    51 ,    17 ,  270 ,07/05/19,       - ,
  744 ,744     ,   2 ,    38 ,    47 ,    39 ,    37 ,  260 ,07/15/19,07/06/20,
  746 ,743     ,   2 ,    31 ,    43 ,    20 ,    20 ,  316 ,05/20/19,       - ,
  747 ,746     ,   2 ,    62 ,    64 ,    45 ,   324 ,   43 ,02/17/20,       - ,
  748 ,745     ,   2 ,     0 ,    37 ,     0 ,    38 ,  340 ,04/18/19,05/21/20,
  749 ,747     ,   2 ,    55 ,     0 ,    29 ,     0 ,   22 ,03/09/20,       - ,
  750 ,748     ,   1 ,     0 ,    40 ,     0 ,   108 ,  408 ,12/14/18,03/19/20,
  751 ,751     ,   3 ,    58 ,    63 ,    17 ,    17 ,   52 ,02/08/20,       - ,
  753 ,753     ,   1 ,    38 ,    41 ,    50 ,    49 ,  252 ,07/23/19,07/02/20,
  754 ,754     ,   1 ,    45 ,    51 ,    25 ,    13 ,  265 ,07/10/19,07/06/20,
  755 ,755     ,   1 ,    41 ,    49 ,    18 ,    31 ,  259 ,07/16/19,11/26/20,
  756 ,756     ,   1 ,    58 ,     0 ,    30 ,     0 ,   19 ,03/12/20,       - ,
  757 ,757     ,   1 ,    62 ,    43 ,    43 ,    18 ,  261 ,07/14/19,10/28/20,
  758 ,758     ,   2 ,    56 ,    63 ,    14 ,    14 ,   84 ,01/07/20,       - ,
  759 ,759     ,   1 ,     0 ,     0 ,     0 ,     0 ,    0 ,03/31/20,       - ,
  760 ,760     ,   1 ,    51 ,     0 ,  1277 ,     0 ,    8 ,03/23/20,       - ,
  761 ,761     ,   1 ,    39 ,    51 ,   107 ,    26 ,  257 ,07/18/19,08/02/20,
  762 ,762     ,   1 ,    51 ,     0 ,    34 ,     0 ,   28 ,03/03/20,       - ,
  763 ,763     ,   1 ,    50 ,    43 ,    34 ,    63 ,  190 ,09/23/19,       - ,
  764 ,764     ,   1 ,    36 ,    39 ,   165 ,   105 ,  265 ,07/10/19,07/02/20,
  765 ,765     ,   1 ,    45 ,    47 ,    28 ,    54 ,   57 ,02/03/20,       - ,
  767 ,767     ,   1 ,    34 ,     0 ,   105 ,     0 ,    8 ,03/23/20,       - ,
  768 ,768     ,   1 ,    48 ,     0 ,   117 ,     0 ,   22 ,03/09/20,       - ,
  769 ,769     ,   1 ,    45 ,    49 ,    45 ,    41 ,   62 ,01/29/20,       - ,
  770 ,770     ,   1 ,    34 ,    39 ,    37 ,    23 ,  217 ,08/27/19,09/26/20,
  771 ,771     ,   1 ,     0 ,     0 ,     0 ,     0 ,    0 ,03/31/20,       - ,
  772 ,772     ,   1 ,    38 ,    43 ,    19 ,    35 ,  146 ,11/06/19,       - ,
  773 ,773     ,   1 ,    51 ,    55 ,    19 ,    23 ,   62 ,01/29/20,       - ,
  774 ,774     ,   1 ,    39 ,     0 ,    42 ,     0 ,    9 ,03/22/20,       - ,
  775 ,775     ,   1 ,    41 ,     0 ,    67 ,     0 ,   10 ,03/21/20,       - ,
  779 ,779     ,   1 ,    41 ,     0 ,    97 ,     0 ,   12 ,03/19/20,       - ,
  780 ,780     ,   1 ,    58 ,     0 ,    27 ,     0 ,   22 ,03/09/20,       - ,
  785 ,785     ,   1 ,    43 ,     0 ,    28 ,     0 ,   19 ,03/12/20,       - ,
  786 ,786     ,   1 ,    28 ,     0 ,   470 ,     0 ,    7 ,03/24/20,       - ,
 1003 ,CB3     ,   2 ,    41 ,    43 ,    31 ,    57 ,  290 ,06/15/19,06/05/20,
 1750 ,750     ,   1 ,    46 ,    53 ,    20 ,    17 ,  255 ,07/20/19,07/23/20,
Total:, 72,,,,,,,,,
