"ID","BNAME","LACT","MILK","PMILK","SCC","PSCC","DIM","FDAT","DUE",
    1 ,CB1     ,   2 ,     0 ,    36 ,     0 ,    20 ,  344 ,01/22/19,02/26/20,
    2 ,CB2     ,   2 ,     0 ,    56 ,     0 ,    16 ,  357 ,02/03/19,03/26/20,
    5 ,CB5     ,   1 ,    62 ,    70 ,   116 ,    64 ,  213 ,07/02/19,       - ,
    7 ,727     ,   2 ,    52 ,    52 ,    18 ,    20 ,  223 ,06/22/19,       - ,
  544 ,544     ,  12 ,    31 ,    34 ,   144 ,   204 ,  406 ,12/21/18,07/07/20,
  585 ,585     ,   4 ,    54 ,    62 ,   157 ,   490 ,  334 ,03/03/19,07/29/20,
  616 ,616     ,   3 ,    44 ,    48 ,    44 ,    46 ,  396 ,12/31/18,06/17/20,
  634 ,634     ,   4 ,     0 ,    22 ,     0 ,    60 ,  964 ,05/09/17,05/08/20,
  636 ,636     ,   4 ,     0 ,    32 ,     0 ,   384 ,  420 ,11/17/18,03/03/20,
  642 ,642     ,   6 ,     0 ,    32 ,     0 ,   235 ,  401 ,11/23/18,02/19/20,
  656 ,656     ,   5 ,    52 ,    60 ,   410 ,   597 ,  118 ,10/05/19,       - ,
  664 ,664     ,   5 ,    73 ,    84 ,   162 ,  2226 ,   82 ,11/10/19,       - ,
  667 ,667     ,   4 ,    35 ,    32 ,   374 ,  3099 ,  407 ,12/20/18,05/17/20,
  670 ,670     ,   5 ,    46 ,    50 ,    59 ,   115 ,  219 ,06/26/19,09/14/20,
  675 ,675     ,   5 ,    54 ,    64 ,    59 ,    24 ,  307 ,03/30/19,       - ,
  685 ,685     ,   5 ,    50 ,    60 ,    53 ,    23 ,  197 ,07/18/19,06/09/20,
  691 ,691     ,   5 ,    81 ,    70 ,    30 ,    46 ,   41 ,12/21/19,       - ,
  693 ,693     ,   4 ,    75 ,    78 ,    27 ,    25 ,  103 ,10/20/19,       - ,
  697 ,697     ,   3 ,    39 ,    52 ,    32 ,    21 ,  284 ,04/22/19,05/08/20,
  700 ,700     ,   2 ,     0 ,    28 ,     0 ,   124 ,  459 ,09/26/18,02/15/20,
  701 ,701     ,   3 ,    39 ,    50 ,   135 ,   695 ,  163 ,08/21/19,08/14/20,
  708 ,708     ,   3 ,    62 ,    72 ,    30 ,    29 ,  217 ,06/28/19,       - ,
  711 ,711     ,   3 ,     0 ,    42 ,     0 ,    28 ,  334 ,02/26/19,03/19/20,
  713 ,713     ,   3 ,    31 ,    34 ,   149 ,    75 ,  263 ,05/13/19,09/16/20,
  716 ,716     ,   3 ,    50 ,    56 ,    49 ,    67 ,  226 ,06/19/19,       - ,
  719 ,719     ,   3 ,    43 ,    58 ,    55 ,   102 ,  323 ,03/14/19,06/14/20,
  720 ,720     ,   3 ,    58 ,     0 ,   264 ,     0 ,  217 ,06/28/19,07/07/20,
  721 ,721     ,   1 ,     0 ,    42 ,     0 ,     0 ,  566 ,03/23/18,02/13/20,
  722 ,722     ,   3 ,    58 ,    60 ,    27 ,    16 ,  148 ,09/05/19,       - ,
  723 ,723     ,   2 ,    35 ,    36 ,   197 ,    41 ,  381 ,01/15/19,06/29/20,
  730 ,730     ,   2 ,     0 ,    50 ,     0 ,    42 ,  299 ,04/02/19,03/13/20,
  731 ,731     ,   2 ,    60 ,    66 ,   348 ,   742 ,  297 ,04/09/19,08/08/20,
  733 ,733     ,   2 ,    56 ,    64 ,   274 ,   156 ,  158 ,08/26/19,       - ,
  734 ,734     ,   1 ,     0 ,    32 ,     0 ,   193 ,  631 ,12/28/17,02/11/20,
  735 ,735     ,   2 ,     0 ,    34 ,     0 ,    33 ,  365 ,12/29/18,02/23/20,
  736 ,736     ,   1 ,    37 ,    46 ,    36 ,    48 ,  666 ,04/05/18,08/07/20,
  738 ,738     ,   2 ,    52 ,    56 ,    24 ,    15 ,  292 ,04/14/19,       - ,
  739 ,739     ,   2 ,    58 ,    58 ,    37 ,    30 ,  228 ,06/17/19,09/07/20,
  742 ,741     ,   2 ,    50 ,    56 ,    80 ,    48 ,  287 ,04/19/19,05/22/20,
  743 ,749     ,   1 ,    62 ,    50 ,    18 ,    18 ,  210 ,07/05/19,07/20/20,
  744 ,744     ,   2 ,    46 ,    56 ,    32 ,    20 ,  200 ,07/15/19,07/06/20,
  746 ,743     ,   2 ,    48 ,    52 ,    18 ,    15 ,  256 ,05/20/19,       - ,
  747 ,746     ,   1 ,     0 ,    40 ,     0 ,   137 ,  425 ,11/11/18,02/27/20,
  748 ,745     ,   2 ,    43 ,    52 ,    48 ,    31 ,  288 ,04/18/19,05/21/20,
  749 ,747     ,   1 ,     0 ,    42 ,     0 ,    21 ,  392 ,12/30/18,03/13/20,
  750 ,748     ,   1 ,     0 ,    40 ,     0 ,   108 ,  408 ,12/14/18,03/19/20,
  751 ,751     ,   2 ,     0 ,    47 ,     0 ,    20 ,  483 ,07/20/18,02/05/20,
  753 ,753     ,   1 ,    44 ,    52 ,    37 ,    60 ,  192 ,07/23/19,07/02/20,
  754 ,754     ,   1 ,    46 ,    60 ,    23 ,    76 ,  205 ,07/10/19,07/06/20,
  755 ,755     ,   1 ,    50 ,    56 ,    20 ,   103 ,  199 ,07/16/19,       - ,
  757 ,757     ,   1 ,    50 ,    54 ,    13 ,    47 ,  201 ,07/14/19,       - ,
  758 ,758     ,   2 ,    58 ,     0 ,    23 ,     0 ,   24 ,01/07/20,       - ,
  761 ,761     ,   1 ,    43 ,    30 ,    30 ,    54 ,  197 ,07/18/19,08/02/20,
  763 ,763     ,   1 ,    67 ,    56 ,    28 ,    16 ,  130 ,09/23/19,       - ,
  764 ,764     ,   1 ,    46 ,    40 ,   176 ,   228 ,  205 ,07/10/19,07/02/20,
