"ID","BNAME","LACT","MILK","PMILK","SCC","PSCC","DIM","FDAT","DUE",
    1 ,CB1     ,   2 ,     0 ,    36 ,     0 ,    20 ,  342 ,01/22/19,02/26/20,
    2 ,CB2     ,   2 ,    56 ,    55 ,    16 ,    18 ,  330 ,02/03/19,03/26/20,
    5 ,CB5     ,   1 ,    70 ,    55 ,    64 ,    42 ,  181 ,07/02/19,       - ,
    7 ,727     ,   2 ,    52 ,    55 ,    20 ,    25 ,  191 ,06/22/19,       - ,
  544 ,544     ,  12 ,    34 ,    32 ,   204 ,   109 ,  374 ,12/21/18,07/07/20,
  585 ,585     ,   4 ,    62 ,    45 ,   490 ,   222 ,  302 ,03/03/19,07/29/20,
  616 ,616     ,   3 ,    48 ,    43 ,    46 ,    33 ,  364 ,12/31/18,06/17/20,
  634 ,634     ,   4 ,     0 ,    22 ,     0 ,    60 ,  964 ,05/09/17,05/08/20,
  636 ,636     ,   4 ,    32 ,    30 ,   384 ,   115 ,  408 ,11/17/18,03/03/20,
  642 ,642     ,   6 ,     0 ,    32 ,     0 ,   235 ,  401 ,11/23/18,02/19/20,
  656 ,656     ,   5 ,    60 ,    63 ,   597 ,   387 ,   86 ,10/05/19,       - ,
  664 ,664     ,   5 ,    84 ,    36 ,  2226 ,   315 ,   50 ,11/10/19,       - ,
  666 ,666     ,   6 ,    50 ,    45 ,    59 ,   184 ,  204 ,06/09/19,06/05/20,
  667 ,667     ,   4 ,    32 ,    45 ,  3099 ,   220 ,  375 ,12/20/18,05/17/20,
  670 ,670     ,   5 ,    50 ,    43 ,   115 ,    18 ,  187 ,06/26/19,09/14/20,
  675 ,675     ,   5 ,    64 ,    49 ,    24 ,    23 ,  275 ,03/30/19,       - ,
  685 ,685     ,   5 ,    60 ,    51 ,    23 ,    22 ,  165 ,07/18/19,06/09/20,
  691 ,691     ,   5 ,    70 ,     0 ,    46 ,     0 ,    9 ,12/21/19,       - ,
  693 ,693     ,   4 ,    78 ,    67 ,    25 ,    12 ,   71 ,10/20/19,       - ,
  697 ,697     ,   3 ,    52 ,    42 ,    21 ,    16 ,  252 ,04/22/19,05/08/20,
  699 ,699     ,   2 ,    28 ,    24 ,   111 ,   135 ,  717 ,01/12/18,06/09/20,
  700 ,700     ,   2 ,     0 ,    28 ,     0 ,   124 ,  459 ,09/26/18,02/15/20,
  701 ,701     ,   3 ,    50 ,    43 ,   695 ,   195 ,  131 ,08/21/19,08/14/20,
  708 ,708     ,   3 ,    72 ,    51 ,    29 ,    23 ,  185 ,06/28/19,       - ,
  711 ,711     ,   3 ,     0 ,    42 ,     0 ,    28 ,  307 ,02/26/19,03/19/20,
  713 ,713     ,   3 ,    34 ,    40 ,    75 ,   143 ,  231 ,05/13/19,       - ,
  716 ,716     ,   3 ,    56 ,    51 ,    67 ,    43 ,  194 ,06/19/19,       - ,
  719 ,719     ,   3 ,    58 ,    42 ,   102 ,    49 ,  291 ,03/14/19,06/14/20,
  720 ,720     ,   3 ,     0 ,    71 ,     0 ,   348 ,  185 ,06/28/19,07/07/20,
